,StartDate,A and I Trend,Overall Franchisee Trend,Deactivated Franchisee Trend,Active Franchisees
0,2015-05-15 22:00:00+00:00,1,1,0,0
1,2015-05-21 22:00:00+00:00,0,0,1,0
2,2015-09-11 15:00:00+00:00,1,2,0,1
3,2015-09-18 15:00:00+00:00,2,3,0,0
4,2015-12-04 15:00:00+00:00,3,4,0,2
5,2016-01-01 22:00:00+00:00,2,0,2,0
6,2016-01-05 22:00:00+00:00,1,0,3,0
7,2016-01-07 22:00:00+00:00,0,0,4,0
8,2016-01-12 22:00:00+00:00,-1,0,5,0
9,2016-01-29 22:00:00+00:00,-2,0,6,0
10,2016-01-31 22:00:00+00:00,-4,0,8,0
11,2016-02-05 15:00:00+00:00,-2,6,0,4
12,2016-02-12 15:00:00+00:00,-1,7,0,0
13,2016-02-16 22:00:00+00:00,-2,0,9,0
14,2016-02-19 15:00:00+00:00,-1,8,0,0
15,2016-04-29 22:00:00+00:00,-3,0,11,0
16,2016-06-10 15:00:00+00:00,-2,9,0,0
17,2016-06-14 22:00:00+00:00,-3,0,12,0
18,2016-06-26 22:00:00+00:00,-1,11,0,5
19,2016-06-27 22:00:00+00:00,22,34,0,0
20,2016-06-28 12:23:00+00:00,23,35,0,6
21,2016-06-28 12:52:00+00:00,24,36,0,0
22,2016-06-28 13:05:00+00:00,25,37,0,7
23,2016-06-28 13:06:00+00:00,26,38,0,8
24,2016-06-28 13:09:00+00:00,27,39,0,9
25,2016-06-28 13:20:00+00:00,28,40,0,0
26,2016-06-28 13:48:00+00:00,29,41,0,10
27,2016-06-28 13:53:00+00:00,30,42,0,0
28,2016-06-28 22:00:00+00:00,50,62,0,0
29,2016-06-29 11:43:00+00:00,51,63,0,0
30,2016-06-29 11:52:00+00:00,52,64,0,11
31,2016-06-29 12:03:00+00:00,53,65,0,12
32,2016-06-29 12:12:00+00:00,54,66,0,13
33,2016-06-29 12:24:00+00:00,55,67,0,0
34,2016-06-29 12:27:00+00:00,56,68,0,0
35,2016-06-29 22:00:00+00:00,54,0,14,0
36,2016-06-30 22:00:00+00:00,53,0,15,0
37,2016-07-04 22:00:00+00:00,57,72,0,0
38,2016-07-11 22:00:00+00:00,56,0,16,0
39,2016-07-14 22:00:00+00:00,57,73,0,0
40,2016-07-17 22:00:00+00:00,97,113,0,26
41,2016-07-18 07:28:00+00:00,98,114,0,27
42,2016-07-18 08:25:00+00:00,99,115,0,0
43,2016-07-18 13:37:00+00:00,100,116,0,28
44,2016-07-18 22:00:00+00:00,127,143,0,34
45,2016-07-19 07:10:00+00:00,128,144,0,35
46,2016-07-19 11:53:00+00:00,129,145,0,0
47,2016-07-19 13:46:00+00:00,130,146,0,36
48,2016-07-19 22:00:00+00:00,176,192,0,45
49,2016-07-20 08:47:00+00:00,177,193,0,0
50,2016-07-20 09:28:00+00:00,178,194,0,46
51,2016-07-20 11:27:00+00:00,179,195,0,47
52,2016-07-20 11:37:00+00:00,180,196,0,48
53,2016-07-20 11:47:00+00:00,181,197,0,49
54,2016-07-20 11:50:00+00:00,182,198,0,50
55,2016-07-20 11:52:00+00:00,183,199,0,0
56,2016-07-20 11:55:00+00:00,184,200,0,51
57,2016-07-20 12:10:00+00:00,185,201,0,52
58,2016-07-20 12:16:00+00:00,186,202,0,0
59,2016-07-20 12:20:00+00:00,187,203,0,0
60,2016-07-20 22:00:00+00:00,250,266,0,65
61,2016-07-21 07:40:00+00:00,251,267,0,66
62,2016-07-21 08:20:00+00:00,252,268,0,67
63,2016-07-21 09:42:00+00:00,253,269,0,0
64,2016-07-21 12:04:00+00:00,254,270,0,0
65,2016-07-21 22:00:00+00:00,268,284,0,69
66,2016-07-24 22:00:00+00:00,285,301,0,70
67,2016-07-27 22:00:00+00:00,307,323,0,72
68,2016-07-28 22:00:00+00:00,325,341,18,75
69,2016-07-28 22:00:00+00:00,323,341,18,75
70,2016-07-29 07:44:00+00:00,324,342,0,76
71,2016-07-29 22:00:00+00:00,322,0,20,0
