Year,Quarter,Month,Day,Daymother - FBProphet,Daymother - SS Targets,Sum of Daymother
,,,,,4941723,77975790.3395054
2015,Qtr 1,January,1,-484.9493631095465,,-489.0938312352825
2015,Qtr 1,January,18,-286.3544250819069,,-287.1458448727446
2015,Qtr 1,January,26,-173.777253900124,,-171.9989648793578
2015,Qtr 1,March,1,85.9740066710668,,90.37208783178232
2015,Qtr 1,March,2,79.92895886871088,,84.71229973696776
2015,Qtr 1,March,24,153.3086557512388,,155.9001999092306
2015,Qtr 2,April,1,142.0021387648248,,143.6274079543314
2015,Qtr 2,April,13,102.541195141632,,102.5175358260285
2015,Qtr 2,May,7,91.59864859386985,,88.59093774093617
2015,Qtr 2,May,11,66.02075202735584,,62.47594865769793
2015,Qtr 2,May,12,88.83929811386089,,84.94932804190618
2015,Qtr 2,June,5,185.7872377890286,,181.0229163818901
2015,Qtr 2,June,15,267.9667825746405,,266.2473390415713
2015,Qtr 3,September,15,104.4530348665682,,91.83272681455145
2015,Qtr 4,October,5,81.62934974027303,,63.67912045527777
2015,Qtr 4,October,26,94.08271687741949,,81.59080909674645
2015,Qtr 4,November,22,36.38804836305041,,28.92409757899189
2016,Qtr 1,January,3,-416.8901155441782,,-420.2352255422919
2016,Qtr 1,January,4,-418.1125473030349,,-420.7383796966947
2016,Qtr 1,January,8,-346.5945812936149,,-348.4455929322411
2016,Qtr 1,January,9,-337.9882145216804,,-339.4652601546265
2016,Qtr 1,January,10,-337.8641280882129,,-339.5325307345932
2016,Qtr 1,January,11,-334.7496406019685,,-335.7315868017616
2016,Qtr 1,January,12,-298.6079594931722,,-299.617460630803
2016,Qtr 1,January,17,-236.5812390607804,,
2016,Qtr 1,January,31,-28.127915111802,,-24.49786673055333
2016,Qtr 1,February,2,8.489923961876315,,12.88137953923061
2016,Qtr 1,February,4,33.92226256726296,,39.20413209879508
2016,Qtr 1,February,12,101.1937440088951,,107.4435334082643
2016,Qtr 1,February,15,89.34099518737477,,95.93828458708533
2016,Qtr 1,February,17,122.7413901254044,,129.2549026867203
2016,Qtr 1,February,21,123.1254642187413,,129.1162190997466
2016,Qtr 1,February,26,158.491834296698,,164.384568436418
2016,Qtr 1,March,1,170.0667856344387,,175.5801589969857
2016,Qtr 1,March,23,225.2391178951351,,228.9723929115414
2016,Qtr 2,April,13,195.7651551307402,,196.4955811553216
2016,Qtr 2,April,28,172.7883574505734,,171.6488465679238
2016,Qtr 2,May,11,160.293350375621,,157.5376674844763
2016,Qtr 2,May,31,218.7002617731213,,214.3763614875331
2016,Qtr 2,June,1,227.7454996528537,,223.6401851155686
2016,Qtr 2,June,6,243.1925123582082,,239.9131981316988
2016,Qtr 2,June,7,275.2051194712187,,271.9076206632202
2016,Qtr 2,June,12,319.5525177724511,,317.5237316444485
2016,Qtr 2,June,21,436.9862394807365,,438.3857767245236
2016,Qtr 3,July,1,478.9997096578094,,482.549156489917
2016,Qtr 3,July,27,257.0478365831498,,262.1084352810905
2016,Qtr 3,July,29,253.4849399490906,,258.3944063770236
2016,Qtr 3,August,16,176.0547005751558,,175.3003459718859
2016,Qtr 3,August,17,172.2879049381849,,171.249973327971
2016,Qtr 3,August,25,132.3778744812916,,128.596851862495
2016,Qtr 3,August,26,132.0342780869063,,127.6130793982937
2016,Qtr 3,September,1,130.3247891336561,,124.5492542536761
2016,Qtr 3,September,2,134.8391848625317,,128.4317965398566
2016,Qtr 3,September,7,150.1736737401208,,142.1407870896778
2016,Qtr 4,November,4,167.971947583761,,156.7773296268414
2016,Qtr 4,November,14,124.7725674167876,,116.1614948019569
2016,Qtr 4,November,23,105.7333653943379,,100.1187045963651
2016,Qtr 4,December,30,-395.8301765616395,,-398.8728195506225
2017,Qtr 1,January,1,-401.9906425545312,,-404.7907460221473
2017,Qtr 1,January,2,-405.4728448948789,,-407.5521167775222
2017,Qtr 1,January,3,-375.4012615920437,,-377.4742200344622
2017,Qtr 1,January,4,-364.0998938895369,,-365.7713028944808
2017,Qtr 1,January,7,-335.2864609338964,,-336.1974514134048
