Year,Quarter,Month,Day,ECD Centre - FBProphet,ECD Centre - SS Targets
,,,,,3967028
2015,Qtr 1,January,1,-328.004692501244,
2015,Qtr 1,January,18,-206.3424073114648,
2015,Qtr 1,January,26,-148.405684222038,
2015,Qtr 1,March,1,66.98051569797599,
2015,Qtr 1,March,2,63.28324374712938,
2015,Qtr 1,March,24,113.5123540620873,
2015,Qtr 2,April,1,109.5016750708078,
2015,Qtr 2,April,13,113.650212653427,
2015,Qtr 2,May,7,111.7956023852655,
2015,Qtr 2,May,11,101.1986290497544,
2015,Qtr 2,May,12,103.1138404897046,
2015,Qtr 2,June,5,79.38467050550102,
2015,Qtr 2,June,15,57.88614428563337,
2015,Qtr 3,September,15,28.53636842153257,
2015,Qtr 4,October,5,-38.23593588075244,
2015,Qtr 4,October,26,-92.6549597219416,
2015,Qtr 4,November,22,-152.7812079687316,
2016,Qtr 1,January,3,-223.1298119107048,
2016,Qtr 1,January,4,-223.6715798644893,
2016,Qtr 1,January,8,-189.2493706720762,
2016,Qtr 1,January,9,-181.7961564387783,
2016,Qtr 1,January,10,-174.6194220503531,
2016,Qtr 1,January,11,-174.7486344479174,
2016,Qtr 1,January,12,-164.6624984695066,
2016,Qtr 1,January,17,-124.0440656818693,
2016,Qtr 1,January,31,-7.685400700653787,
2016,Qtr 1,February,2,5.548153073163249,
2016,Qtr 1,February,4,24.96530813959727,
2016,Qtr 1,February,12,84.89732753370583,
2016,Qtr 1,February,15,95.0605012129331,
2016,Qtr 1,February,17,107.0132270713533,
2016,Qtr 1,February,21,128.9520247993665,
2016,Qtr 1,February,26,146.7308297593677,
2016,Qtr 1,March,1,157.0752895853649,
2016,Qtr 1,March,23,204.4540698170265,
2016,Qtr 2,April,13,208.417284074088,
2016,Qtr 2,April,28,215.5384253100058,
2016,Qtr 2,May,11,194.2747630243838,
2016,Qtr 2,May,31,176.3552741647019,
2016,Qtr 2,June,1,173.5428641927554,
2016,Qtr 2,June,6,160.5974216155686,
2016,Qtr 2,June,7,161.5057835062274,
