Year,Quarter,Month,Day,Playgroup - FBProphet,Playgroup - SS Targets
,,,,,2708372
2015,Qtr 1,January,1,-917.0531091574239,
2015,Qtr 1,January,18,-609.4833875380174,
2015,Qtr 1,January,26,-440.6304892462655,
2015,Qtr 1,March,1,166.7131465294563,
2015,Qtr 1,March,2,165.1290586893855,
2015,Qtr 1,March,24,367.0341469040438,
2015,Qtr 2,April,1,377.361361747259,
2015,Qtr 2,April,13,391.5570660327429,
2015,Qtr 2,May,7,277.3777481064409,
2015,Qtr 2,May,11,237.0758467744475,
2015,Qtr 2,May,12,245.251070832922,
2015,Qtr 2,June,5,224.2177162143622,
2015,Qtr 2,June,15,173.9447111549265,
2015,Qtr 3,September,15,-194.5407179980549,
2015,Qtr 4,October,5,-277.5640433216369,
2015,Qtr 4,October,26,-327.1881530232025,
2015,Qtr 4,November,22,-422.4409111298975,
2016,Qtr 1,January,3,-595.354120606494,
2016,Qtr 1,January,4,-596.4715038359615,
2016,Qtr 1,January,8,-505.7961293985251,
2016,Qtr 1,January,9,-491.9193751520801,
2016,Qtr 1,January,10,-478.4765248823793,
2016,Qtr 1,January,11,-475.79476059273,
2016,Qtr 1,January,12,-444.4269998009008,
2016,Qtr 1,January,17,-337.6330340723707,
2016,Qtr 1,January,31,-15.44649888172043,
2016,Qtr 1,February,2,24.67320595523005,
2016,Qtr 1,February,4,72.68651899075662,
2016,Qtr 1,February,12,224.298761643111,
2016,Qtr 1,February,15,245.317771007266,
2016,Qtr 1,February,17,284.8915177486845,
2016,Qtr 1,February,21,347.0811440344468,
2016,Qtr 1,February,26,427.3429341594807,
2016,Qtr 1,March,1,472.8387033006459,
2016,Qtr 1,March,23,664.1233414938301,
2016,Qtr 2,April,13,701.9104230704202,
2016,Qtr 2,April,28,644.1403133498069,
2016,Qtr 2,May,11,543.7521731885658,
2016,Qtr 2,May,31,521.6944479413337,
2016,Qtr 2,June,1,517.7761063372539,
2016,Qtr 2,June,6,493.499384215988,
2016,Qtr 2,June,7,502.7497887283375,
2016,Qtr 2,June,12,493.7927235213375,
2016,Qtr 2,June,21,472.947500210294,
2016,Qtr 3,July,1,437.4903652110746,
2016,Qtr 3,July,27,164.8327097077979,
2016,Qtr 3,July,29,167.3545900977172,
2016,Qtr 3,August,16,1.716218284217376,
2016,Qtr 3,August,17,-9.01824829190295,
2016,Qtr 3,August,25,-40.27873211073114,
2016,Qtr 3,August,26,-32.72563992042072,
2016,Qtr 3,September,1,-7.866135728102194,
2016,Qtr 3,September,2,7.793348765617736,
2016,Qtr 3,September,7,44.41623505789849,
2016,Qtr 4,November,4,-44.96536486259998,
2016,Qtr 4,November,14,-106.7629659932128,
2016,Qtr 4,November,23,-140.8663674951618,
2016,Qtr 4,December,30,-540.9721586705612,
2017,Qtr 1,January,1,-535.1994760103626,
2017,Qtr 1,January,2,-542.8544816833477,
2017,Qtr 1,January,3,-521.5938941998963,
2017,Qtr 1,January,4,-513.4400113984135,
2017,Qtr 1,January,7,-470.2373542487016,
2017,Qtr 1,January,8,-463.0853437172451,
2017,Qtr 1,January,9,-466.6771373700726,
2017,Qtr 1,January,10,-441.5695514588805,
2017,Qtr 1,January,11,-429.7461532994841,
2017,Qtr 1,January,12,-408.2862063166269,
2017,Qtr 1,January,15,-365.9002922387724,
2017,Qtr 1,January,16,-366.3314785762012,
2017,Qtr 1,January,17,-338.1430620452848,
2017,Qtr 1,January,18,-323.3308689306398,
2017,Qtr 1,January,20,-275.1403993166799,
2017,Qtr 1,January,23,-247.2810397476218,
