Year,Quarter,Month,Day,SmartStart ECD - FBProphet,SmartStart ECD - SS Targets
,,,,,1661112
2015,Qtr 1,January,1,-173.430421029817,
2015,Qtr 1,January,18,-120.8040495848266,
2015,Qtr 1,January,26,-87.50236600588323,
2015,Qtr 1,March,1,10.45996586888933,
2015,Qtr 1,March,2,10.63617229779992,
2015,Qtr 1,March,24,55.4691365538693,
2015,Qtr 2,April,1,58.51643332669907,
2015,Qtr 2,April,13,66.82106622145356,
2015,Qtr 2,May,7,62.48241524952095,
2015,Qtr 2,May,11,59.27893545960097,
2015,Qtr 2,May,12,61.12097344837859,
2015,Qtr 2,June,5,69.64072998369704,
2015,Qtr 2,June,15,68.12483788388008,
2015,Qtr 3,September,15,-38.15360981389689,
2015,Qtr 4,October,5,-63.62903867411573,
2015,Qtr 4,October,26,-86.73664472073615,
2015,Qtr 4,November,22,-116.5789159959349,
2016,Qtr 1,January,3,-115.3108267573134,
2016,Qtr 1,January,4,-114.6317223130609,
2016,Qtr 1,January,8,-100.2993398967327,
2016,Qtr 1,January,9,-97.36412224916475,
2016,Qtr 1,January,10,-95.04928176376703,
2016,Qtr 1,January,11,-94.29684001382819,
2016,Qtr 1,January,12,-89.59338745251901,
2016,Qtr 1,January,17,-72.15097440223602,
2016,Qtr 1,January,31,-9.122655153974486,
2016,Qtr 1,February,2,-0.6684896705131571,
2016,Qtr 1,February,4,8.714046451509443,
2016,Qtr 1,February,12,33.66922970331322,
2016,Qtr 1,February,15,36.73068464914202,
2016,Qtr 1,February,17,41.05421586808831,
2016,Qtr 1,February,21,48.23060485204884,
2016,Qtr 1,February,26,57.40261718150055,
2016,Qtr 1,March,1,65.08636332335422,
2016,Qtr 1,March,23,108.1288316732784,
2016,Qtr 2,April,13,121.8805122988351,
2016,Qtr 2,April,28,122.0013025865516,
2016,Qtr 2,May,11,113.8734450845132,
2016,Qtr 2,May,31,122.9070168603417,
2016,Qtr 2,June,1,122.1154649165055,
2016,Qtr 2,June,6,119.8513980958396,
2016,Qtr 2,June,7,121.3517661066939,
2016,Qtr 2,June,12,122.5488098670549,
2016,Qtr 2,June,21,129.4183827344864,
2016,Qtr 3,July,1,134.4491934114162,
2016,Qtr 3,July,27,79.71687389972263,
2016,Qtr 3,July,29,78.70296973261443,
2016,Qtr 3,August,16,42.78418613630288,
2016,Qtr 3,August,17,39.60858784409335,
2016,Qtr 3,August,25,24.03112081536612,
2016,Qtr 3,August,26,22.77075922588306,
2016,Qtr 3,September,1,18.03323682319354,
2016,Qtr 3,September,2,17.98253893259979,
2016,Qtr 3,September,7,16.25280356156759,
2016,Qtr 4,November,4,-49.29749160268341,
2016,Qtr 4,November,14,-60.8715733797156,
2016,Qtr 4,November,23,-66.33188947968596,
2016,Qtr 4,December,30,-110.8871737926941,
2017,Qtr 1,January,1,-107.7451922774022,
2017,Qtr 1,January,2,-108.1270290635521,
2017,Qtr 1,January,3,-104.6428330875608,
2017,Qtr 1,January,4,-103.4254801465695,
2017,Qtr 1,January,7,-96.2466862098007,
2017,Qtr 1,January,8,-95.05356538009158,
2017,Qtr 1,January,9,-95.44381740157081,
2017,Qtr 1,January,10,-91.90506559426046,
2017,Qtr 1,January,11,-90.55161965718646,
2017,Qtr 1,January,12,-86.92555733833457,
2017,Qtr 1,January,15,-80.5892511449672,
2017,Qtr 1,January,16,-80.30253577442693,
2017,Qtr 1,January,17,-75.98457045570547,
2017,Qtr 1,January,18,-73.76245943957011,
2017,Qtr 1,January,20,-65.90995277047982,
2017,Qtr 1,January,23,-58.5320608711024,
2017,Qtr 1,January,25,-50.17608602091121,
2017,Qtr 1,January,26,-44.84755944561756,
2017,Qtr 1,January,29,-34.06186916916218,
2017,Qtr 1,January,31,-27.47384474991452,
2017,Qtr 1,February,1,-24.66835812968915,
2017,Qtr 1,February,2,-19.82820412299908,
2017,Qtr 1,February,3,-16.60081702110796,
2017,Qtr 1,February,4,-13.69518298200331,
2017,Qtr 1,February,5,-11.65952802721743,
2017,Qtr 1,February,6,-11.46445642622711,
2017,Qtr 1,February,7,-7.62118484419707,
2017,Qtr 1,February,8,-6.263670492972105,
2017,Qtr 1,February,9,-2.948930361580365,
2017,Qtr 1,February,10,-1.293287471036781,
2017,Qtr 1,February,13,-0.8275668042068318,
2017,Qtr 1,February,14,1.578950148722917,
2017,Qtr 1,February,22,4.792391446572253,
2017,Qtr 1,February,24,7.842106894862383,
2017,Qtr 1,February,26,8.993005885373002,
2017,Qtr 1,February,27,7.805771816312863,
2017,Qtr 1,February,28,10.61870672809721,
2017,Qtr 1,March,1,11.29382190004044,
2017,Qtr 1,March,6,17.79381745600182,
2017,Qtr 1,March,9,25.19035377553451,
2017,Qtr 1,March,11,28.2472822590754,
2017,Qtr 1,March,16,32.96034425031522,
2017,Qtr 1,March,21,32.83831230878787,
2017,Qtr 1,March,23,33.17820997564905,
2017,Qtr 1,March,25,32.32949324615526,
2017,Qtr 1,March,26,31.09283169805845,
2017,Qtr 1,March,27,28.20567553994888,
2017,Qtr 2,April,1,27.85510486951135,
2017,Qtr 2,April,2,26.71704452422735,
2017,Qtr 2,April,4,25.27690568018633,
2017,Qtr 2,April,7,25.56817761635259,
2017,Qtr 2,April,10,22.19911064075556,
2017,Qtr 2,April,11,23.66455312217379,
2017,Qtr 2,April,12,22.85072555250454,
2017,Qtr 2,April,13,24.17910402656885,
2017,Qtr 2,April,18,20.53060364181925,
2017,Qtr 2,April,19,20.41098220685933,
2017,Qtr 2,April,20,22.34267622479837,
2017,Qtr 2,April,25,21.01624267777431,
2017,Qtr 2,April,30,18.97970397040255,
2017,Qtr 2,May,1,16.16356850605524,
2017,Qtr 2,May,2,17.2612348567459,
2017,Qtr 2,May,3,16.16245010345799,
2017,Qtr 2,May,4,17.32742482929319,
2017,Qtr 2,May,5,17.15011940062327,
2017,Qtr 2,May,6,16.95683529734411,
2017,Qtr 2,May,7,16.22758723242139,
2017,Qtr 2,May,8,14.01222166707277,
2017,Qtr 2,May,9,15.81165850623553,
2017,Qtr 2,May,10,15.49547344712865,
2017,Qtr 2,May,14,19.03411907983848,
2017,Qtr 2,May,15,17.6510247067439,
2017,Qtr 2,May,16,20.22139565019086,
2017,Qtr 2,May,17,20.59427979643046,
2017,Qtr 2,May,25,29.47862701977031,
2017,Qtr 2,May,29,28.70673797201738,
2017,Qtr 2,May,31,30.17052825240344,
2017,Qtr 2,June,1,31.86930208845946,
2017,Qtr 2,June,5,29.3722233840262,
2017,Qtr 2,June,6,31.09212246166637,
2017,Qtr 2,June,9,32.83063864898975,
2017,Qtr 2,June,11,33.11057938165843,
2017,Qtr 2,June,12,31.48245658333371,
2017,Qtr 2,June,13,33.85728274093868,
2017,Qtr 2,June,14,34.10229225366747,
2017,Qtr 2,June,15,36.65251390416397,
2017,Qtr 2,June,17,39.06614725501093,
2017,Qtr 2,June,18,39.6775300701624,
2017,Qtr 2,June,20,41.69213480380336,
2017,Qtr 2,June,21,42.40890646152668,
2017,Qtr 2,June,22,45.29119143134348,
2017,Qtr 2,June,23,46.68571486105517,
2017,Qtr 2,June,25,48.29398747380709,
2017,Qtr 2,June,26,46.95913613919212,
2017,Qtr 2,June,27,49.33875281439024,
2017,Qtr 2,June,28,49.27733757753055,
2017,Qtr 2,June,30,51.45023042384683,
2017,Qtr 3,July,3,47.45669832421095,
2017,Qtr 3,July,4,48.2140068066673,
2017,Qtr 3,July,9,40.96888953639917,
2017,Qtr 3,July,10,36.64104915069947,
2017,Qtr 3,July,12,33.17728701251082,
2017,Qtr 3,July,14,30.18148401086518,
2017,Qtr 3,July,15,27.83281001932396,
2017,Qtr 3,July,18,19.75281007434942,
2017,Qtr 3,July,21,14.85688174645389,
2017,Qtr 3,July,23,10.85627552199527,
2017,Qtr 3,July,24,7.103311902658284,
2017,Qtr 3,July,26,5.452007026240281,
2017,Qtr 3,July,27,5.835960500609396,
2017,Qtr 3,July,28,4.859842524710494,
2017,Qtr 3,July,30,2.146712031153513,
2017,Qtr 3,July,31,-0.137437342832385,
2017,Qtr 3,August,1,1.447125623455179,
2017,Qtr 3,August,3,2.179936640331533,
2017,Qtr 3,August,5,1.816345687569001,
2017,Qtr 3,August,6,0.7691115624671454,
2017,Qtr 3,August,7,-2.005023099756311,
2017,Qtr 3,August,8,-1.015640553254407,
2017,Qtr 3,August,10,-1.70202121735284,
2017,Qtr 3,August,11,-2.551039438314699,
2017,Qtr 3,August,12,-3.620314126403171,
2017,Qtr 3,August,14,-8.910871459900665,
2017,Qtr 3,August,15,-8.555297224341533,
2017,Qtr 3,August,17,-10.18396559129957,
2017,Qtr 3,August,18,-11.30026543387228,
2017,Qtr 3,August,20,-14.22807221309143,
2017,Qtr 3,August,21,-17.48017191163801,
2017,Qtr 3,August,22,-16.71748675078152,
2017,Qtr 3,August,23,-18.05189920898913,
2017,Qtr 3,August,26,-17.40848939414127,
2017,Qtr 3,August,29,-18.01281376766829,
2017,Qtr 3,August,30,-18.03630392708836,
2017,Qtr 3,September,4,-14.03424459455853,
2017,Qtr 3,September,6,-10.35396829415192,
