,Start Date,counts
0,2015-05-21,-1
1,2016-01-01,-2
2,2016-01-05,-3
3,2016-01-07,-4
4,2016-01-12,-5
5,2016-01-29,-6
0,2016-02-12,-5
6,2016-02-16,-6
1,2016-02-19,-5
7,2016-04-29,-7
2,2016-06-10,-6
8,2016-06-14,-7
3,2016-06-26,-6
4,2016-06-27,12
5,2016-06-28,13
6,2016-06-28,14
7,2016-06-28,15
8,2016-06-28,34
9,2016-06-29,35
10,2016-06-29,36
9,2016-06-29,35
10,2016-06-30,34
11,2016-07-04,37
11,2016-07-11,36
12,2016-07-14,37
13,2016-07-17,58
14,2016-07-18,59
15,2016-07-18,80
16,2016-07-19,81
17,2016-07-19,118
18,2016-07-20,119
19,2016-07-20,120
20,2016-07-20,121
21,2016-07-20,122
22,2016-07-20,172
23,2016-07-21,173
24,2016-07-21,174
25,2016-07-21,186
26,2016-07-24,202
27,2016-07-27,222
28,2016-07-28,237
12,2016-07-28,236
13,2016-07-29,235
29,2016-07-31,260
30,2016-08-01,279
31,2016-08-02,293
32,2016-08-09,298
33,2016-08-10,303
34,2016-08-11,304
35,2016-08-11,310
36,2016-08-13,329
37,2016-08-14,330
38,2016-08-14,348
39,2016-08-15,349
40,2016-08-15,374
41,2016-08-16,375
42,2016-08-16,390
43,2016-08-17,391
44,2016-08-17,405
14,2016-08-22,404
15,2016-08-23,403
45,2016-08-24,404
46,2016-08-25,429
47,2016-08-26,430
48,2016-08-26,431
49,2016-08-29,436
16,2016-08-29,435
50,2016-08-30,436
17,2016-08-31,435
51,2016-09-04,437
52,2016-09-05,448
53,2016-09-06,453
54,2016-09-07,513
18,2016-10-02,512
55,2016-10-03,513
56,2016-10-03,514
57,2016-10-03,515
58,2016-10-03,516
59,2016-10-04,517
60,2016-10-04,518
61,2016-10-04,519
62,2016-10-04,520
63,2016-10-04,521
64,2016-10-09,522
65,2016-10-10,523
66,2016-10-10,524
67,2016-10-10,525
68,2016-10-10,526
69,2016-10-10,527
70,2016-10-10,528
71,2016-10-10,529
72,2016-10-10,530
73,2016-10-10,531
74,2016-10-10,532
75,2016-10-10,533
76,2016-10-10,534
77,2016-10-10,535
78,2016-10-10,536
79,2016-10-10,537
80,2016-10-10,538
81,2016-10-10,539
82,2016-10-10,540
83,2016-10-10,541
84,2016-10-10,542
85,2016-10-10,543
86,2016-10-10,544
87,2016-10-10,545
88,2016-10-10,546
89,2016-10-10,547
90,2016-10-10,548
91,2016-10-10,549
92,2016-10-10,550
93,2016-10-10,551
94,2016-10-10,552
95,2016-10-10,553
96,2016-10-10,554
97,2016-10-10,556
19,2016-10-10,555
98,2016-10-11,556
99,2016-10-11,557
100,2016-10-11,558
101,2016-10-11,559
102,2016-10-11,560
103,2016-10-11,561
104,2016-10-11,562
105,2016-10-11,563
106,2016-10-11,564
107,2016-10-11,565
108,2016-10-12,566
109,2016-10-13,567
110,2016-10-13,568
111,2016-10-13,569
112,2016-10-13,570
113,2016-10-13,571
114,2016-10-13,572
115,2016-10-17,573
116,2016-10-17,574
117,2016-10-17,575
118,2016-10-17,576
119,2016-10-17,577
120,2016-10-17,578
121,2016-10-17,579
122,2016-10-17,580
123,2016-10-17,581
124,2016-10-17,582
125,2016-10-17,583
126,2016-10-17,584
127,2016-10-17,585
128,2016-10-17,586
129,2016-10-17,587
130,2016-10-17,590
131,2016-10-18,591
132,2016-10-18,592
133,2016-10-18,593
134,2016-10-18,595
135,2016-10-18,596
136,2016-10-18,597
137,2016-10-18,598
138,2016-10-18,599
139,2016-10-18,600
140,2016-10-18,601
141,2016-10-18,602
142,2016-10-18,603
143,2016-10-18,604
144,2016-10-18,605
145,2016-10-18,606
146,2016-10-18,607
147,2016-10-18,608
148,2016-10-18,609
149,2016-10-18,610
150,2016-10-18,611
151,2016-10-18,612
152,2016-10-18,613
153,2016-10-18,614
154,2016-10-18,615
155,2016-10-18,616
156,2016-10-18,617
157,2016-10-18,618
158,2016-10-18,619
159,2016-10-18,620
160,2016-10-18,621
161,2016-10-18,622
162,2016-10-20,623
163,2016-10-24,624
164,2016-10-24,625
165,2016-10-27,626
166,2016-10-27,627
167,2016-10-27,628
168,2016-10-27,629
169,2016-10-27,630
170,2016-10-27,631
171,2016-10-27,632
172,2016-10-27,633
20,2016-10-27,632
21,2016-10-29,631
173,2016-10-31,633
174,2016-11-01,634
175,2016-11-01,635
176,2016-11-01,636
177,2016-11-01,637
178,2016-11-01,638
179,2016-11-01,639
180,2016-11-01,640
181,2016-11-01,641
182,2016-11-01,642
183,2016-11-07,643
184,2016-11-08,644
185,2016-11-08,645
186,2016-11-08,647
187,2016-11-09,648
188,2016-11-09,649
189,2016-11-09,650
190,2016-11-09,651
191,2016-11-09,652
192,2016-11-09,653
193,2016-11-09,654
194,2016-11-09,655
195,2016-11-09,656
196,2016-11-09,657
197,2016-11-09,658
198,2016-11-09,659
199,2016-11-10,660
200,2016-11-10,661
201,2016-11-10,662
202,2016-11-10,663
203,2016-11-10,664
204,2016-11-10,665
205,2016-11-10,666
206,2016-11-10,667
207,2016-11-10,668
208,2016-11-10,669
209,2016-11-10,670
210,2016-11-10,671
211,2016-11-10,672
212,2016-11-10,673
22,2016-11-10,672
213,2016-11-11,673
214,2016-11-11,674
215,2016-11-11,675
216,2016-11-11,676
217,2016-11-11,677
218,2016-11-11,678
219,2016-11-11,679
220,2016-11-11,680
221,2016-11-11,681
222,2016-11-11,682
223,2016-11-11,683
224,2016-11-11,684
225,2016-11-11,685
226,2016-11-11,686
227,2016-11-11,687
228,2016-11-11,688
229,2016-11-14,689
230,2016-11-14,690
231,2016-11-15,691
232,2016-11-15,692
233,2016-11-15,693
234,2016-11-15,694
235,2016-11-16,695
236,2016-11-16,696
237,2016-11-16,697
238,2016-11-16,698
239,2016-11-16,699
240,2016-11-16,700
241,2016-11-16,701
242,2016-11-16,702
243,2016-11-16,703
244,2016-11-16,704
245,2016-11-16,705
246,2016-11-16,706
247,2016-11-16,707
248,2016-11-17,710
249,2016-11-18,711
250,2016-11-18,712
251,2016-11-18,713
252,2016-11-18,714
253,2016-11-18,715
254,2016-11-18,716
255,2016-11-18,717
256,2016-11-18,718
257,2016-11-18,719
258,2016-11-18,720
259,2016-11-18,721
260,2016-11-18,722
261,2016-11-18,723
262,2016-11-18,724
263,2016-11-18,725
264,2016-11-18,726
265,2016-11-18,727
266,2016-11-18,728
267,2016-11-18,729
268,2016-11-18,730
269,2016-11-18,731
270,2016-11-18,732
271,2016-11-18,733
272,2016-11-18,734
273,2016-11-18,735
274,2016-11-18,736
275,2016-11-18,737
276,2016-11-20,738
277,2016-11-21,739
278,2016-11-21,740
279,2016-11-21,741
280,2016-11-21,742
281,2016-11-21,743
282,2016-11-21,744
283,2016-11-21,745
284,2016-11-21,746
285,2016-11-21,747
286,2016-11-21,748
287,2016-11-21,749
288,2016-11-22,750
289,2016-11-22,751
290,2016-11-22,752
23,2016-11-22,751
291,2016-11-23,752
292,2016-11-25,753
293,2016-11-27,756
294,2016-11-28,757
295,2016-11-28,758
296,2016-11-28,759
297,2016-11-28,760
298,2016-11-28,761
299,2016-11-28,762
300,2016-11-28,763
301,2016-11-28,764
24,2016-11-28,763
302,2016-11-29,764
303,2016-11-29,765
304,2016-11-29,766
305,2016-11-29,767
306,2016-11-29,768
307,2016-11-29,769
308,2016-11-29,770
309,2016-11-29,771
310,2016-11-29,772
311,2016-11-29,773
312,2016-11-29,774
313,2016-11-29,775
314,2016-11-29,776
315,2016-11-29,777
316,2016-11-29,778
317,2016-11-29,779
318,2016-11-29,780
319,2016-11-29,781
320,2016-11-29,782
25,2016-11-29,778
321,2016-11-29,779
322,2016-11-30,780
323,2016-11-30,781
324,2016-11-30,782
325,2016-11-30,783
326,2016-11-30,784
327,2016-11-30,785
328,2016-11-30,786
26,2016-11-30,783
329,2016-12-06,784
330,2016-12-07,785
331,2016-12-07,786
332,2016-12-07,787
333,2016-12-07,788
334,2016-12-07,789
335,2016-12-07,790
336,2016-12-07,791
337,2016-12-07,792
338,2016-12-07,793
339,2016-12-08,794
340,2016-12-08,795
