,Start Date,counts
147,2015-01-01,192
148,2015-01-03,193
149,2015-01-04,195
150,2015-01-06,196
151,2015-01-07,197
0,2015-01-11,194
152,2015-01-11,196
153,2015-01-12,199
1,2015-01-12,198
154,2015-01-14,199
155,2015-01-15,201
156,2015-01-17,230
157,2015-01-18,231
158,2015-01-19,234
159,2015-01-21,235
160,2015-01-22,236
161,2015-01-26,237
162,2015-01-27,238
163,2015-01-28,239
164,2015-02-02,243
165,2015-02-03,244
166,2015-02-10,246
167,2015-02-12,247
168,2015-02-17,248
169,2015-02-18,249
170,2015-02-19,250
171,2015-02-22,251
172,2015-02-28,252
173,2015-03-01,253
174,2015-03-02,254
175,2015-03-03,255
176,2015-03-05,259
177,2015-03-09,260
178,2015-03-11,262
179,2015-03-17,263
180,2015-03-18,264
181,2015-03-24,265
182,2015-03-25,267
183,2015-04-01,269
184,2015-04-02,270
185,2015-04-03,271
186,2015-04-04,272
187,2015-04-11,273
188,2015-04-12,274
189,2015-04-13,275
190,2015-04-15,277
191,2015-04-20,278
192,2015-05-07,280
193,2015-05-11,281
194,2015-05-12,282
195,2015-05-15,283
196,2015-05-16,285
197,2015-05-17,286
198,2015-05-24,289
199,2015-05-27,290
200,2015-05-28,291
201,2015-05-29,292
202,2015-06-03,293
203,2015-06-05,294
204,2015-06-08,295
205,2015-06-13,296
206,2015-06-15,297
207,2015-06-17,298
208,2015-06-22,299
209,2015-06-25,301
210,2015-07-02,302
211,2015-07-06,303
212,2015-07-07,304
213,2015-07-13,305
214,2015-07-16,306
215,2015-07-21,307
216,2015-07-22,308
217,2015-07-27,309
218,2015-08-04,310
219,2015-08-06,311
220,2015-08-11,312
221,2015-08-16,313
222,2015-08-17,314
223,2015-08-20,315
224,2015-08-24,316
225,2015-08-30,317
226,2015-09-04,319
227,2015-09-05,320
228,2015-09-09,321
229,2015-09-11,322
230,2015-09-12,323
231,2015-09-15,325
232,2015-10-05,327
233,2015-10-08,328
234,2015-10-10,329
235,2015-10-12,332
236,2015-10-23,333
237,2015-10-26,334
238,2015-10-27,336
239,2015-11-02,338
240,2015-11-03,339
241,2015-11-06,340
242,2015-11-13,341
243,2015-11-14,342
244,2015-11-19,343
245,2015-11-20,344
246,2015-11-22,345
247,2015-11-27,346
248,2015-11-29,347
249,2015-12-03,348
250,2015-12-07,349
251,2015-12-18,350
252,2015-12-22,351
253,2015-12-23,352
254,2015-12-24,353
255,2015-12-28,357
256,2015-12-31,365
257,2016-01-01,369
258,2016-01-03,383
259,2016-01-04,392
260,2016-01-05,393
261,2016-01-06,396
262,2016-01-08,399
263,2016-01-09,400
264,2016-01-10,404
265,2016-01-11,417
2,2016-01-12,369
266,2016-01-12,371
267,2016-01-13,378
3,2016-01-13,377
4,2016-01-16,376
268,2016-01-16,377
269,2016-01-17,384
270,2016-01-18,388
271,2016-01-19,391
5,2016-01-19,390
272,2016-01-20,403
273,2016-01-21,405
274,2016-01-22,409
275,2016-01-23,414
276,2016-01-24,415
277,2016-01-25,420
278,2016-01-26,422
279,2016-01-27,430
280,2016-01-28,431
281,2016-01-31,436
6,2016-01-31,435
282,2016-02-01,456
283,2016-02-02,460
284,2016-02-03,499
285,2016-02-04,504
286,2016-02-05,507
287,2016-02-06,510
288,2016-02-07,511
289,2016-02-09,512
290,2016-02-10,513
291,2016-02-11,516
292,2016-02-12,518
293,2016-02-14,519
294,2016-02-15,522
295,2016-02-16,523
296,2016-02-17,525
297,2016-02-18,530
298,2016-02-21,533
299,2016-02-22,534
300,2016-02-23,536
301,2016-02-24,538
302,2016-02-25,541
303,2016-02-26,543
304,2016-02-27,544
305,2016-02-28,546
306,2016-02-29,548
307,2016-03-01,556
308,2016-03-02,565
309,2016-03-03,567
310,2016-03-06,572
311,2016-03-07,573
312,2016-03-08,576
313,2016-03-10,577
314,2016-03-11,578
315,2016-03-14,581
316,2016-03-16,582
317,2016-03-17,583
318,2016-03-18,585
319,2016-03-19,586
320,2016-03-20,588
7,2016-03-20,583
321,2016-03-23,586
322,2016-03-25,587
323,2016-03-27,588
324,2016-03-29,590
325,2016-04-03,591
326,2016-04-04,597
327,2016-04-05,601
328,2016-04-07,603
329,2016-04-10,604
330,2016-04-11,609
331,2016-04-13,614
332,2016-04-15,615
333,2016-04-16,617
334,2016-04-19,618
335,2016-04-21,619
336,2016-04-22,620
337,2016-04-25,622
338,2016-04-26,623
339,2016-04-28,625
340,2016-05-01,629
341,2016-05-02,634
342,2016-05-03,636
343,2016-05-04,637
344,2016-05-05,638
345,2016-05-06,639
346,2016-05-09,640
347,2016-05-10,642
348,2016-05-11,644
349,2016-05-13,646
350,2016-05-15,647
351,2016-05-16,649
352,2016-05-17,650
353,2016-05-18,651
354,2016-05-21,652
355,2016-05-22,654
356,2016-05-24,655
357,2016-05-25,656
358,2016-05-27,657
359,2016-05-29,668
360,2016-05-31,674
361,2016-06-01,676
362,2016-06-03,681
363,2016-06-06,682
364,2016-06-08,683
365,2016-06-09,684
366,2016-06-10,687
367,2016-06-12,690
368,2016-06-13,692
369,2016-06-14,693
370,2016-06-15,694
371,2016-06-17,696
372,2016-06-21,697
373,2016-06-22,698
374,2016-06-23,699
375,2016-06-29,700
376,2016-06-30,701
377,2016-07-01,704
378,2016-07-02,706
379,2016-07-03,707
380,2016-07-05,710
381,2016-07-07,712
382,2016-07-11,717
383,2016-07-15,718
384,2016-07-18,720
385,2016-07-19,721
386,2016-07-22,722
387,2016-07-24,723
388,2016-07-26,724
389,2016-07-27,725
390,2016-07-29,726
391,2016-08-02,728
392,2016-08-03,729
393,2016-08-04,730
394,2016-08-08,732
395,2016-08-09,734
396,2016-08-10,735
397,2016-08-11,737
398,2016-08-12,738
399,2016-08-14,739
400,2016-08-15,743
401,2016-08-16,750
402,2016-08-17,752
403,2016-08-18,753
404,2016-08-19,754
405,2016-08-22,755
406,2016-08-24,756
407,2016-08-25,757
408,2016-08-26,758
409,2016-08-27,759
410,2016-08-28,760
411,2016-08-29,761
412,2016-09-01,762
413,2016-09-02,763
414,2016-09-03,765
415,2016-09-05,770
416,2016-09-06,771
417,2016-09-07,773
418,2016-09-09,774
419,2016-09-10,776
420,2016-09-12,777
421,2016-09-13,778
422,2016-09-15,780
423,2016-09-21,781
424,2016-09-24,782
425,2016-09-30,785
426,2016-10-02,786
427,2016-10-03,790
428,2016-10-04,793
429,2016-10-05,794
430,2016-10-08,795
431,2016-10-09,796
432,2016-10-10,799
433,2016-10-11,800
434,2016-10-12,802
435,2016-10-13,804
436,2016-10-14,805
437,2016-10-17,808
8,2016-10-17,807
438,2016-10-18,810
439,2016-10-20,811
440,2016-10-21,813
441,2016-10-24,814
442,2016-10-26,816
443,2016-10-31,817
444,2016-11-02,818
445,2016-11-03,819
446,2016-11-04,820
447,2016-11-07,823
448,2016-11-09,824
449,2016-11-14,829
450,2016-11-15,831
451,2016-11-16,833
9,2016-11-16,832
452,2016-11-17,834
453,2016-11-18,835
454,2016-11-20,836
455,2016-11-22,838
456,2016-11-23,840
10,2016-11-24,839
457,2016-11-24,840
11,2016-11-28,838
458,2016-11-28,839
459,2016-11-30,842
460,2016-12-01,846
461,2016-12-02,847
462,2016-12-03,848
463,2016-12-04,856
464,2016-12-05,868
465,2016-12-06,879
466,2016-12-08,881
467,2016-12-09,882
468,2016-12-11,883
469,2016-12-12,886
470,2016-12-13,887
471,2016-12-14,890
472,2016-12-15,891
