,ds,y
152001,2015-01-01,0
100700,2015-01-03,1
106694,2015-01-04,1
106688,2015-01-06,1
145543,2015-01-07,1
107858,2015-01-11,0
106797,2015-01-12,-1
87680,2015-01-14,-1
86720,2015-01-15,-1
125244,2015-01-17,-1
36343,2015-01-18,0
84537,2015-01-19,0
106112,2015-01-21,2
113233,2015-01-22,2
113065,2015-01-26,3
112242,2015-01-27,3
106716,2015-01-28,3
108962,2015-02-02,3
106809,2015-02-03,4
106776,2015-02-10,4
131914,2015-02-12,5
108652,2015-02-17,6
106779,2015-02-18,6
133860,2015-02-19,6
133828,2015-02-22,7
106742,2015-02-28,7
22128,2015-03-01,7
36643,2015-03-02,8
106803,2015-03-03,9
108416,2015-03-05,10
106769,2015-03-09,12
85305,2015-03-11,12
112731,2015-03-17,14
156301,2015-03-18,14
35936,2015-03-24,14
127684,2015-03-25,15
23171,2015-04-01,16
86009,2015-04-02,16
106690,2015-04-03,16
156299,2015-04-04,16
115346,2015-04-11,17
106685,2015-04-12,17
35974,2015-04-13,17
127702,2015-04-15,18
133687,2015-04-20,18
156302,2015-05-07,18
36706,2015-05-11,20
36648,2015-05-12,21
133400,2015-05-15,22
145865,2015-05-16,23
126225,2015-05-17,24
80137,2015-05-24,24
145651,2015-05-27,25
145880,2015-05-28,25
145661,2015-05-29,26
128608,2015-06-03,27
36057,2015-06-05,28
162332,2015-06-08,28
133799,2015-06-13,28
31147,2015-06-15,28
145749,2015-06-17,28
162536,2015-06-22,28
154479,2015-06-25,28
130823,2015-07-02,30
104336,2015-07-06,31
106791,2015-07-07,32
102375,2015-07-13,32
127624,2015-07-16,33
162545,2015-07-21,33
130754,2015-07-22,34
106698,2015-07-27,34
106781,2015-08-04,34
129992,2015-08-06,35
128234,2015-08-11,35
133916,2015-08-16,35
105220,2015-08-17,35
88154,2015-08-20,35
162535,2015-08-24,35
106705,2015-08-30,35
129283,2015-09-04,36
133849,2015-09-05,36
159300,2015-09-09,37
146252,2015-09-11,37
145834,2015-09-12,38
23392,2015-09-15,38
128408,2015-10-05,39
86180,2015-10-08,39
146337,2015-10-10,39
108089,2015-10-12,40
146563,2015-10-23,42
35874,2015-10-26,43
107942,2015-10-27,44
107997,2015-11-02,46
107949,2015-11-03,46
