,ds,y
3264,2015-05-21,-1
6255,2016-01-01,-1
6237,2016-01-05,-1
5815,2016-01-07,-1
6243,2016-01-12,-1
5594,2016-01-29,-1
1067,2016-02-12,0
3321,2016-02-16,0
3367,2016-02-19,1
6026,2016-04-29,1
1083,2016-06-10,1
3372,2016-06-14,1
1106,2016-06-26,1
5390,2016-06-27,2
5336,2016-06-28,17
2338,2016-06-29,35
1081,2016-06-30,35
1021,2016-07-04,36
5792,2016-07-11,37
2325,2016-07-14,38
3266,2016-07-17,38
2340,2016-07-18,51
5649,2016-07-19,65
982,2016-07-20,86
5681,2016-07-21,93
5333,2016-07-24,95
5581,2016-07-27,96
5838,2016-07-28,114
1024,2016-07-29,113
2343,2016-07-31,113
5844,2016-08-01,113
5568,2016-08-02,126
3368,2016-08-09,139
3271,2016-08-10,142
5787,2016-08-11,145
223,2016-08-13,145
1812,2016-08-14,145
1817,2016-08-15,146
6021,2016-08-16,146
6027,2016-08-17,146
5809,2016-08-22,145
3292,2016-08-23,145
1000,2016-08-24,146
1010,2016-08-25,146
2327,2016-08-26,146
1011,2016-08-29,146
5670,2016-08-30,145
1820,2016-08-31,145
3273,2016-09-04,146
996,2016-09-05,146
978,2016-09-06,147
5382,2016-09-07,147
5836,2016-10-02,155
3469,2016-10-03,155
227,2016-10-04,156
1026,2016-10-09,156
4456,2016-10-10,156
230,2016-10-11,161
3284,2016-10-12,162
5651,2016-10-13,162
1036,2016-10-17,163
1390,2016-10-18,177
5806,2016-10-20,194
3294,2016-10-24,194
3470,2016-10-27,196
5328,2016-10-29,200
5808,2016-10-31,200
5916,2016-11-01,202
2350,2016-11-07,207
5704,2016-11-08,207
4529,2016-11-09,208
6273,2016-11-10,210
6087,2016-11-11,210
5654,2016-11-14,217
5523,2016-11-15,219
241,2016-11-16,220
5715,2016-11-17,226
5810,2016-11-18,227
245,2016-11-20,246
1199,2016-11-21,246
6053,2016-11-22,249
4462,2016-11-23,250
69,2016-11-25,250
6088,2016-11-27,250
5908,2016-11-28,250
6059,2016-11-29,250
1236,2016-11-30,253
246,2016-12-06,257
5444,2016-12-07,257
1978,2016-12-08,261
5450,2016-12-12,266
5452,2016-12-13,270
1042,2016-12-14,274
5457,2016-12-15,277
2906,2016-12-19,279
6028,2016-12-29,282
246,2016-12-31,281
213,2017-01-01,281
244,2017-01-02,280
1013,2017-01-03,279
1234,2017-01-04,277
3591,2017-01-06,278
1076,2017-01-08,278
1605,2017-01-10,279
6094,2017-01-12,280
4864,2017-01-16,280
569,2017-01-17,285
623,2017-01-18,288
4110,2017-01-22,290
