,ds,y
152001,2015-01-01,0
100700,2015-01-03,1
106694,2015-01-04,2
106688,2015-01-06,4
145543,2015-01-07,4
107858,2015-01-11,4
106797,2015-01-12,6
87680,2015-01-14,7
86720,2015-01-15,7
125244,2015-01-17,7
36343,2015-01-18,7
84537,2015-01-19,7
106112,2015-01-21,7
113233,2015-01-22,7
113065,2015-01-26,7
112242,2015-01-27,7
106716,2015-01-28,8
108962,2015-02-02,9
106809,2015-02-03,12
106776,2015-02-10,13
131914,2015-02-12,14
108652,2015-02-17,14
106779,2015-02-18,15
133860,2015-02-19,16
133828,2015-02-22,16
106742,2015-02-28,17
22128,2015-03-01,18
36643,2015-03-02,18
106803,2015-03-03,18
108416,2015-03-05,18
106769,2015-03-09,19
85305,2015-03-11,19
112731,2015-03-17,19
156301,2015-03-18,19
35936,2015-03-24,19
127684,2015-03-25,19
23171,2015-04-01,20
86009,2015-04-02,20
106690,2015-04-03,21
156299,2015-04-04,21
115346,2015-04-11,21
106685,2015-04-12,22
35974,2015-04-13,22
127702,2015-04-15,22
133687,2015-04-20,23
156302,2015-05-07,23
36706,2015-05-11,23
36648,2015-05-12,23
133400,2015-05-15,23
145865,2015-05-16,23
126225,2015-05-17,23
80137,2015-05-24,23
145651,2015-05-27,23
145880,2015-05-28,23
145661,2015-05-29,23
128608,2015-06-03,23
36057,2015-06-05,23
162332,2015-06-08,24
133799,2015-06-13,25
31147,2015-06-15,25
145749,2015-06-17,25
162536,2015-06-22,26
154479,2015-06-25,26
130823,2015-07-02,26
104336,2015-07-06,26
106791,2015-07-07,26
102375,2015-07-13,26
127624,2015-07-16,26
162545,2015-07-21,27
130754,2015-07-22,27
106698,2015-07-27,28
106781,2015-08-04,29
129992,2015-08-06,29
128234,2015-08-11,29
133916,2015-08-16,29
105220,2015-08-17,29
88154,2015-08-20,30
162535,2015-08-24,31
106705,2015-08-30,32
129283,2015-09-04,32
133849,2015-09-05,33
159300,2015-09-09,33
146252,2015-09-11,33
145834,2015-09-12,33
23392,2015-09-15,34
128408,2015-10-05,35
86180,2015-10-08,36
146337,2015-10-10,37
108089,2015-10-12,37
146563,2015-10-23,38
35874,2015-10-26,38
107942,2015-10-27,38
107997,2015-11-02,38
107949,2015-11-03,40
125510,2015-11-06,40
