,ds,y
3264,2015-05-21,0
6255,2016-01-01,0
6237,2016-01-05,0
5815,2016-01-07,-1
6243,2016-01-12,-1
5594,2016-01-29,-1
1067,2016-02-12,-1
3321,2016-02-16,-2
3367,2016-02-19,-2
6026,2016-04-29,-2
1083,2016-06-10,-1
3372,2016-06-14,-2
1106,2016-06-26,-1
5390,2016-06-27,-1
5336,2016-06-28,2
2338,2016-06-29,6
1081,2016-06-30,6
1021,2016-07-04,6
5792,2016-07-11,6
2325,2016-07-14,6
3266,2016-07-17,7
2340,2016-07-18,14
5649,2016-07-19,22
982,2016-07-20,39
5681,2016-07-21,86
5333,2016-07-24,98
5581,2016-07-27,113
5838,2016-07-28,114
1024,2016-07-29,114
2343,2016-07-31,115
5844,2016-08-01,139
5568,2016-08-02,139
3368,2016-08-09,139
3271,2016-08-10,140
5787,2016-08-11,142
223,2016-08-13,149
1812,2016-08-14,167
1817,2016-08-15,176
6021,2016-08-16,176
6027,2016-08-17,176
5809,2016-08-22,176
3292,2016-08-23,175
1000,2016-08-24,175
1010,2016-08-25,176
2327,2016-08-26,189
1011,2016-08-29,191
5670,2016-08-30,196
1820,2016-08-31,196
3273,2016-09-04,196
996,2016-09-05,198
978,2016-09-06,208
5382,2016-09-07,213
5836,2016-10-02,264
3469,2016-10-03,264
227,2016-10-04,267
1026,2016-10-09,272
4456,2016-10-10,273
230,2016-10-11,300
3284,2016-10-12,309
5651,2016-10-13,310
1036,2016-10-17,315
1390,2016-10-18,318
5806,2016-10-20,330
3294,2016-10-24,331
3470,2016-10-27,331
5328,2016-10-29,331
5808,2016-10-31,332
5916,2016-11-01,332
2350,2016-11-07,335
5704,2016-11-08,336
4529,2016-11-09,339
6273,2016-11-10,347
6087,2016-11-11,349
5654,2016-11-14,350
5523,2016-11-15,350
241,2016-11-16,353
5715,2016-11-17,360
5810,2016-11-18,361
245,2016-11-20,369
1199,2016-11-21,370
6053,2016-11-22,377
4462,2016-11-23,380
69,2016-11-25,380
6088,2016-11-27,380
5908,2016-11-28,380
6059,2016-11-29,388
1236,2016-11-30,398
246,2016-12-06,398
5444,2016-12-07,399
1978,2016-12-08,401
5450,2016-12-12,403
5452,2016-12-13,408
1042,2016-12-14,410
5457,2016-12-15,412
2906,2016-12-19,413
6028,2016-12-29,413
246,2016-12-31,413
213,2017-01-01,412
244,2017-01-02,411
1013,2017-01-03,407
1234,2017-01-04,406
3591,2017-01-06,405
1076,2017-01-08,406
1605,2017-01-10,406
6094,2017-01-12,406
4864,2017-01-16,407
569,2017-01-17,407
623,2017-01-18,410
4110,2017-01-22,410
4112,2017-01-23,410
5460,2017-01-24,410
1084,2017-01-25,410
5461,2017-01-27,410
6042,2017-01-29,410
1027,2017-01-30,409
2557,2017-01-31,410
451,2017-02-01,410
5918,2017-02-02,411
5963,2017-02-03,411
2360,2017-02-06,411
5815,2017-02-08,412
1049,2017-02-09,412
1404,2017-02-10,412
6254,2017-02-12,412
1405,2017-02-13,411
5582,2017-02-15,412
1052,2017-02-17,413
4114,2017-02-21,413
5478,2017-02-22,413
1603,2017-02-23,415
4823,2017-02-24,415
4827,2017-02-25,415
4555,2017-02-26,415
1815,2017-02-27,415
4556,2017-02-28,415
3328,2017-03-01,415
1161,2017-03-02,417
577,2017-03-04,418
576,2017-03-05,419
3592,2017-03-06,419
4115,2017-03-07,420
1706,2017-03-08,422
5601,2017-03-09,422
5608,2017-03-10,424
1054,2017-03-13,424
5613,2017-03-14,424
5614,2017-03-15,424
5681,2017-03-20,423
6344,2017-03-22,423
5521,2017-03-26,423
4118,2017-03-27,423
4075,2017-03-28,423
325,2017-03-29,425
4828,2017-03-30,425
228,2017-03-31,424
3368,2017-04-02,424
5481,2017-04-03,424
1066,2017-04-04,424
6152,2017-04-05,424
3759,2017-04-06,424
1710,2017-04-07,424
586,2017-04-09,423
506,2017-04-10,423
6153,2017-04-11,423
3397,2017-04-12,422
1711,2017-04-13,422
6290,2017-04-15,422
585,2017-04-16,421
482,2017-04-18,421
3197,2017-04-19,421
601,2017-04-20,422
574,2017-04-23,422
5494,2017-04-24,422
6103,2017-04-25,424
6296,2017-04-28,424
5855,2017-04-29,424
6050,2017-04-30,424
5707,2017-05-01,424
3041,2017-05-02,424
3341,2017-05-03,425
5787,2017-05-04,437
3841,2017-05-05,445
6297,2017-05-07,445
1369,2017-05-08,444
1065,2017-05-09,443
3478,2017-05-10,444
1406,2017-05-11,445
6298,2017-05-12,445
3353,2017-05-15,447
6345,2017-05-16,449
1833,2017-05-17,449
6255,2017-05-18,452
2364,2017-05-19,455
1712,2017-05-20,455
5777,2017-05-22,455
4076,2017-05-23,461
1073,2017-05-24,466
4535,2017-05-26,467
6034,2017-05-29,467
5865,2017-05-30,468
4131,2017-05-31,468
1714,2017-06-01,468
6250,2017-06-05,468
6154,2017-06-08,468
6306,2017-06-12,468
6159,2017-06-13,468
1074,2017-06-14,468
4884,2017-06-15,467
5862,2017-06-17,467
2922,2017-06-19,467
6162,2017-06-20,467
1235,2017-06-21,467
624,2017-06-22,467
2926,2017-06-23,467
589,2017-06-25,467
3753,2017-06-26,468
3758,2017-06-27,468
6375,2017-06-28,469
6256,2017-06-29,469
3168,2017-06-30,469
520,2017-07-03,469
516,2017-07-04,471
6164,2017-07-05,469
594,2017-07-06,469
6247,2017-07-08,471
3365,2017-07-10,472
4562,2017-07-11,472
3189,2017-07-12,472
600,2017-07-14,473
3403,2017-07-17,473
6240,2017-07-18,474
5201,2017-07-19,474
3193,2017-07-20,474
4035,2017-07-21,474
4111,2017-07-23,474
6076,2017-07-24,474
5989,2017-07-25,474
3482,2017-07-26,475
5938,2017-07-27,476
237,2017-07-31,475
1069,2017-08-01,475
1812,2017-08-02,475
2919,2017-08-06,475
3483,2017-08-08,475
1059,2017-08-09,475
2022,2017-08-11,475
5461,2017-08-14,475
5654,2017-08-15,475
5945,2017-08-21,474
252,2017-08-22,474
3715,2017-08-28,474
1065,2017-08-29,474
5652,2017-08-30,473
1605,2017-08-31,473
5788,2017-09-03,472
985,2017-09-04,459
5870,2017-09-05,453
6124,2017-09-08,453
5702,2017-09-11,452
6310,2017-09-12,452
5527,2017-09-13,452
6165,2017-09-15,452
1308,2017-09-17,452
1244,2017-09-18,452
1602,2017-09-19,452
458,2017-09-20,452
1256,2017-09-21,451
5795,2017-09-26,450
5528,2017-09-27,448
6169,2017-10-04,448
6197,2017-10-05,448
3370,2017-10-06,449
3557,2017-10-09,449
5529,2017-10-10,450
1617,2017-10-11,451
6314,2017-10-12,451
6172,2017-10-13,451
5314,2017-10-15,450
5380,2017-10-16,443
4036,2017-10-17,440
5600,2017-10-18,438
3925,2017-10-19,438
5604,2017-10-22,437
74,2017-10-23,435
1026,2017-10-24,433
86,2017-10-25,435
5307,2017-10-26,434
1719,2017-10-27,431
5639,2017-10-29,430
983,2017-10-30,429
3773,2017-10-31,428
5312,2017-11-01,427
6180,2017-11-02,428
6320,2017-11-03,428
609,2017-11-05,429
5824,2017-11-06,429
617,2017-11-07,429
2900,2017-11-08,429
5860,2017-11-09,429
1420,2017-11-10,429
5838,2017-11-13,428
1081,2017-11-14,428
6186,2017-11-15,428
256,2017-11-16,428
1729,2017-11-17,428
3315,2017-11-19,427
6190,2017-11-20,425
6188,2017-11-21,425
3358,2017-11-22,424
1428,2017-11-24,424
6447,2017-11-26,424
2862,2017-11-27,421
6225,2017-11-28,421
617,2017-11-29,421
576,2017-11-30,419
6192,2017-12-01,419
5902,2017-12-03,419
590,2017-12-04,417
5475,2017-12-05,415
2642,2017-12-06,412
1616,2017-12-07,412
626,2017-12-08,412
2648,2017-12-11,412
5655,2017-12-12,419
6463,2017-12-13,419
3372,2017-12-14,420
2867,2017-12-15,421
6355,2017-12-17,421
254,2017-12-18,421
1526,2017-12-19,421
5587,2017-12-29,421
234,2017-12-31,421
3751,2018-01-01,421
5342,2018-01-02,421
1974,2018-01-04,421
2921,2018-01-07,421
4831,2018-01-08,420
5664,2018-01-09,419
6204,2018-01-10,419
620,2018-01-11,419
6162,2018-01-14,419
6281,2018-01-15,419
6206,2018-01-16,419
2690,2018-01-17,418
3781,2018-01-19,418
4382,2018-01-21,418
6161,2018-01-22,418
3924,2018-01-23,418
3049,2018-01-24,418
6071,2018-01-25,418
6278,2018-01-26,418
4123,2018-01-28,418
5477,2018-01-29,418
1832,2018-01-30,418
3176,2018-01-31,416
255,2018-02-01,417
6119,2018-02-02,419
1831,2018-02-04,419
350,2018-02-05,419
96,2018-02-06,420
1509,2018-02-07,420
1512,2018-02-08,420
1522,2018-02-09,421
767,2018-02-11,421
4124,2018-02-12,421
602,2018-02-13,421
518,2018-02-14,420
512,2018-02-15,419
2652,2018-02-16,420
1094,2018-02-17,421
6333,2018-02-18,421
2374,2018-02-19,422
6063,2018-02-20,423
3177,2018-02-21,423
5818,2018-02-22,423
622,2018-02-23,423
619,2018-02-25,423
2655,2018-02-26,423
3766,2018-02-27,423
5456,2018-02-28,423
5739,2018-03-01,423
1257,2018-03-02,425
4826,2018-03-03,425
1203,2018-03-04,425
5876,2018-03-05,426
3053,2018-03-06,425
3054,2018-03-07,425
3988,2018-03-08,430
1269,2018-03-10,431
2626,2018-03-11,431
5439,2018-03-12,429
1265,2018-03-13,428
6209,2018-03-14,428
4885,2018-03-15,427
5965,2018-03-16,428
1850,2018-03-18,428
2629,2018-03-19,428
3294,2018-03-20,427
118,2018-03-21,428
3390,2018-03-22,430
3771,2018-03-23,434
505,2018-03-24,435
6370,2018-03-25,435
5741,2018-03-26,435
520,2018-03-27,435
3192,2018-03-28,435
3170,2018-03-29,436
1609,2018-03-30,435
5696,2018-03-31,434
3774,2018-04-01,434
6152,2018-04-02,432
1127,2018-04-03,433
2880,2018-04-04,435
2377,2018-04-05,436
3611,2018-04-06,434
2381,2018-04-08,435
2966,2018-04-09,435
5463,2018-04-10,435
253,2018-04-11,435
2393,2018-04-12,439
5735,2018-04-15,455
2979,2018-04-16,455
2383,2018-04-17,458
6454,2018-04-18,461
3609,2018-04-19,460
1249,2018-04-21,460
6226,2018-04-23,460
2983,2018-04-24,460
2686,2018-04-25,460
3610,2018-04-26,461
1023,2018-04-29,460
5313,2018-04-30,460
6178,2018-05-01,459
1459,2018-05-02,459
2692,2018-05-03,459
6473,2018-05-06,460
3595,2018-05-07,460
3827,2018-05-08,456
6334,2018-05-09,454
5110,2018-05-10,456
1731,2018-05-13,456
6011,2018-05-14,457
1449,2018-05-15,459
2721,2018-05-16,459
5415,2018-05-17,459
2714,2018-05-20,459
5768,2018-05-21,466
3658,2018-05-22,466
2984,2018-05-23,467
6481,2018-05-24,467
575,2018-05-27,468
1105,2018-05-28,469
1450,2018-05-29,472
6483,2018-05-31,472
2991,2018-06-03,472
3001,2018-06-04,472
1553,2018-06-05,474
1460,2018-06-06,475
1110,2018-06-07,487
5546,2018-06-08,488
5772,2018-06-10,488
5143,2018-06-11,492
3488,2018-06-12,492
2895,2018-06-13,492
2998,2018-06-14,492
6221,2018-06-17,492
6220,2018-06-18,493
642,2018-06-19,492
6450,2018-06-20,492
5751,2018-06-21,493
2398,2018-06-24,497
128,2018-06-25,497
2407,2018-06-26,499
1843,2018-06-27,501
6445,2018-06-28,502
6479,2018-06-29,502
5758,2018-06-30,503
5535,2018-07-01,507
3037,2018-07-02,507
3616,2018-07-03,509
2080,2018-07-04,509
5767,2018-07-05,509
5949,2018-07-08,509
5540,2018-07-09,510
6241,2018-07-10,510
3359,2018-07-11,509
5120,2018-07-12,509
6182,2018-07-14,509
5541,2018-07-15,509
2402,2018-07-16,509
5988,2018-07-17,509
2709,2018-07-18,508
5982,2018-07-20,508
2565,2018-07-21,508
5811,2018-07-22,507
162,2018-07-23,512
4842,2018-07-24,514
139,2018-07-25,514
2571,2018-07-26,515
1425,2018-07-29,523
3772,2018-07-30,525
6304,2018-07-31,526
2713,2018-08-01,516
265,2018-08-02,516
6326,2018-08-04,517
1471,2018-08-05,517
5993,2018-08-06,520
4844,2018-08-07,522
6315,2018-08-08,522
1930,2018-08-09,522
5553,2018-08-10,522
2719,2018-08-11,522
169,2018-08-12,522
3385,2018-08-13,523
2238,2018-08-14,523
111,2018-08-15,522
5607,2018-08-16,523
607,2018-08-17,523
5668,2018-08-18,522
6133,2018-08-19,522
6456,2018-08-20,522
3205,2018-08-21,522
1810,2018-08-22,522
3207,2018-08-23,522
2947,2018-08-24,522
1811,2018-08-25,523
6138,2018-08-26,523
4216,2018-08-27,524
175,2018-08-28,524
6322,2018-08-29,523
3308,2018-08-30,523
5612,2018-08-31,523
6018,2018-09-01,523
2606,2018-09-02,523
2728,2018-09-03,524
6019,2018-09-04,525
872,2018-09-05,526
5467,2018-09-06,529
5431,2018-09-07,532
6146,2018-09-09,532
6149,2018-09-11,532
3401,2018-09-12,533
360,2018-09-13,533
3750,2018-09-14,533
2609,2018-09-15,533
4651,2018-09-16,533
534,2018-09-17,537
4654,2018-09-18,538
4138,2018-09-19,538
4477,2018-09-20,537
6147,2018-09-21,537
3284,2018-09-23,536
5656,2018-09-24,536
4540,2018-09-25,536
6494,2018-09-26,536
2585,2018-09-27,536
