,ds,y
152001,2015-01-01,1
100700,2015-01-03,1
106694,2015-01-04,1
106688,2015-01-06,1
145543,2015-01-07,2
107858,2015-01-11,2
106797,2015-01-12,2
87680,2015-01-14,3
86720,2015-01-15,4
125244,2015-01-17,5
36343,2015-01-18,6
84537,2015-01-19,7
106112,2015-01-21,8
113233,2015-01-22,9
113065,2015-01-26,9
112242,2015-01-27,10
106716,2015-01-28,10
108962,2015-02-02,10
106809,2015-02-03,10
106776,2015-02-10,10
131914,2015-02-12,10
108652,2015-02-17,10
106779,2015-02-18,10
133860,2015-02-19,10
133828,2015-02-22,10
106742,2015-02-28,10
22128,2015-03-01,10
36643,2015-03-02,10
106803,2015-03-03,10
108416,2015-03-05,10
106769,2015-03-09,11
85305,2015-03-11,12
112731,2015-03-17,12
156301,2015-03-18,13
35936,2015-03-24,14
127684,2015-03-25,14
23171,2015-04-01,14
86009,2015-04-02,16
106690,2015-04-03,16
156299,2015-04-04,17
115346,2015-04-11,17
106685,2015-04-12,17
35974,2015-04-13,18
127702,2015-04-15,18
133687,2015-04-20,19
156302,2015-05-07,20
36706,2015-05-11,20
36648,2015-05-12,20
133400,2015-05-15,20
145865,2015-05-16,20
126225,2015-05-17,20
80137,2015-05-24,21
145651,2015-05-27,23
145880,2015-05-28,24
145661,2015-05-29,24
128608,2015-06-03,24
36057,2015-06-05,24
162332,2015-06-08,24
133799,2015-06-13,24
31147,2015-06-15,25
145749,2015-06-17,26
162536,2015-06-22,26
154479,2015-06-25,27
130823,2015-07-02,27
104336,2015-07-06,27
106791,2015-07-07,27
102375,2015-07-13,27
127624,2015-07-16,27
162545,2015-07-21,27
130754,2015-07-22,27
106698,2015-07-27,27
106781,2015-08-04,27
129992,2015-08-06,27
128234,2015-08-11,28
133916,2015-08-16,28
105220,2015-08-17,28
88154,2015-08-20,28
162535,2015-08-24,28
106705,2015-08-30,28
129283,2015-09-04,28
133849,2015-09-05,29
159300,2015-09-09,29
146252,2015-09-11,30
145834,2015-09-12,30
23392,2015-09-15,30
128408,2015-10-05,30
86180,2015-10-08,31
146337,2015-10-10,31
108089,2015-10-12,31
146563,2015-10-23,31
35874,2015-10-26,31
107942,2015-10-27,31
107997,2015-11-02,31
107949,2015-11-03,31
125510,2015-11-06,31
130529,2015-11-13,31
89002,2015-11-14,31
139969,2015-11-19,32
104262,2015-11-20,32
23532,2015-11-22,32
114661,2015-11-27,33
147297,2015-11-29,33
156728,2015-12-03,33
106696,2015-12-07,33
87204,2015-12-18,34
110672,2015-12-22,34
127383,2015-12-23,34
133686,2015-12-24,34
152000,2015-12-28,35
106745,2015-12-31,35
99454,2016-01-01,35
106853,2016-01-03,36
36675,2016-01-04,38
101254,2016-01-05,43
106677,2016-01-06,43
159332,2016-01-08,43
36658,2016-01-09,43
104720,2016-01-10,44
31145,2016-01-11,46
107895,2016-01-12,47
108014,2016-01-13,47
125356,2016-01-16,49
127123,2016-01-17,49
162543,2016-01-18,49
139680,2016-01-19,50
87966,2016-01-20,51
106702,2016-01-21,60
87964,2016-01-22,61
108538,2016-01-23,62
108526,2016-01-24,62
107948,2016-01-25,62
162534,2016-01-26,62
108133,2016-01-27,62
108186,2016-01-28,62
106726,2016-01-31,62
99899,2016-02-01,63
22161,2016-02-02,70
127304,2016-02-03,71
108332,2016-02-04,71
108329,2016-02-05,72
131473,2016-02-06,73
100697,2016-02-07,73
127483,2016-02-09,73
98553,2016-02-10,73
106768,2016-02-11,73
106733,2016-02-12,73
112548,2016-02-14,74
106782,2016-02-15,74
89999,2016-02-16,74
22386,2016-02-17,74
108350,2016-02-18,74
108383,2016-02-21,74
108398,2016-02-22,74
108196,2016-02-23,74
125119,2016-02-24,74
107963,2016-02-25,74
128854,2016-02-26,74
106674,2016-02-27,74
108347,2016-02-28,74
127997,2016-02-29,74
85208,2016-03-01,75
87949,2016-03-02,81
132308,2016-03-03,85
108005,2016-03-06,86
100834,2016-03-07,86
108357,2016-03-08,86
133917,2016-03-10,87
108361,2016-03-11,87
108049,2016-03-14,87
90916,2016-03-16,87
127107,2016-03-17,87
153762,2016-03-18,88
126914,2016-03-19,88
149459,2016-03-20,89
125678,2016-03-23,89
125532,2016-03-25,90
145214,2016-03-27,90
127578,2016-03-29,90
106714,2016-04-03,90
106701,2016-04-04,90
125283,2016-04-05,90
84235,2016-04-07,91
112030,2016-04-10,92
125249,2016-04-11,92
36651,2016-04-13,92
153871,2016-04-15,93
149283,2016-04-16,93
125118,2016-04-19,93
127440,2016-04-21,93
125536,2016-04-22,94
108837,2016-04-25,94
108405,2016-04-26,94
67710,2016-04-28,95
108331,2016-05-01,96
108400,2016-05-02,96
106838,2016-05-03,96
106839,2016-05-04,96
100667,2016-05-05,96
102480,2016-05-06,96
144403,2016-05-09,96
106353,2016-05-10,96
100121,2016-05-11,96
132611,2016-05-13,96
108411,2016-05-15,96
153043,2016-05-16,97
112800,2016-05-17,99
106420,2016-05-18,99
119486,2016-05-21,100
108367,2016-05-22,100
108378,2016-05-24,100
108379,2016-05-25,100
159324,2016-05-27,100
108372,2016-05-29,100
106865,2016-05-31,100
154801,2016-06-01,100
162439,2016-06-03,100
23150,2016-06-06,101
106760,2016-06-08,101
127331,2016-06-09,101
127490,2016-06-10,101
117768,2016-06-12,102
125123,2016-06-13,103
127672,2016-06-14,103
125272,2016-06-15,103
125809,2016-06-17,103
60233,2016-06-21,104
125506,2016-06-22,104
106692,2016-06-23,104
131448,2016-06-29,104
106864,2016-06-30,104
36640,2016-07-01,104
104210,2016-07-02,104
109048,2016-07-03,105
106807,2016-07-05,105
105141,2016-07-07,105
108591,2016-07-11,105
126926,2016-07-15,106
127969,2016-07-18,106
156405,2016-07-19,108
127850,2016-07-22,108
108278,2016-07-24,108
154147,2016-07-26,109
22165,2016-07-27,109
25480,2016-07-29,110
102791,2016-08-02,110
106762,2016-08-03,110
160124,2016-08-04,110
133699,2016-08-08,110
158605,2016-08-09,112
92427,2016-08-10,112
127109,2016-08-11,112
108695,2016-08-12,112
107958,2016-08-14,112
145064,2016-08-15,113
22384,2016-08-16,116
127368,2016-08-17,118
101388,2016-08-18,118
127370,2016-08-19,118
80414,2016-08-22,119
154469,2016-08-24,120
141162,2016-08-25,120
30860,2016-08-26,121
114380,2016-08-27,121
107962,2016-08-28,121
108299,2016-08-29,121
36644,2016-09-01,121
7931,2016-09-02,121
132032,2016-09-03,121
108167,2016-09-05,122
108421,2016-09-06,122
127542,2016-09-07,122
134204,2016-09-09,122
102462,2016-09-10,122
87095,2016-09-12,124
127491,2016-09-13,124
89064,2016-09-15,124
127366,2016-09-21,124
132048,2016-09-24,124
87948,2016-09-30,125
108125,2016-10-02,127
144698,2016-10-03,128
106817,2016-10-04,131
106847,2016-10-05,132
84415,2016-10-08,133
109076,2016-10-09,133
108174,2016-10-10,133
125234,2016-10-11,133
127700,2016-10-12,133
127240,2016-10-13,133
125351,2016-10-14,133
125126,2016-10-17,133
108413,2016-10-18,133
106691,2016-10-20,133
125333,2016-10-21,133
125328,2016-10-24,133
108389,2016-10-26,133
106798,2016-10-31,133
108275,2016-11-02,133
108276,2016-11-03,133
73586,2016-11-04,133
144690,2016-11-07,134
106704,2016-11-09,135
98207,2016-11-14,135
127981,2016-11-15,135
106833,2016-11-16,135
125218,2016-11-17,135
125361,2016-11-18,135
107010,2016-11-20,135
127626,2016-11-22,135
117489,2016-11-23,136
109076,2016-11-24,137
127689,2016-11-28,138
108565,2016-11-30,138
108561,2016-12-01,138
108710,2016-12-02,138
108617,2016-12-03,138
99036,2016-12-04,138
106816,2016-12-05,138
138130,2016-12-06,139
127581,2016-12-08,145
108709,2016-12-09,145
131486,2016-12-11,145
125330,2016-12-12,145
108606,2016-12-13,145
113954,2016-12-14,145
127553,2016-12-15,145
108955,2016-12-19,145
125537,2016-12-21,146
108607,2016-12-26,146
108953,2016-12-28,146
37263,2016-12-30,146
106843,2016-12-31,146
22142,2017-01-01,146
6726,2017-01-02,159
31150,2017-01-03,167
106793,2017-01-04,172
108713,2017-01-05,173
106389,2017-01-06,175
129868,2017-01-07,175
106873,2017-01-08,176
22146,2017-01-09,179
102385,2017-01-10,198
108887,2017-01-11,206
108715,2017-01-12,190
127772,2017-01-13,191
106717,2017-01-14,191
125251,2017-01-15,191
108390,2017-01-16,195
125105,2017-01-17,198
108797,2017-01-18,204
127548,2017-01-19,207
87931,2017-01-20,209
125359,2017-01-21,218
108884,2017-01-22,218
102965,2017-01-23,218
106823,2017-01-24,223
127618,2017-01-25,223
125207,2017-01-26,223
101385,2017-01-27,223
149110,2017-01-29,224
108531,2017-01-30,224
126170,2017-01-31,226
151720,2017-02-01,248
109199,2017-02-02,286
126682,2017-02-03,288
100090,2017-02-04,297
137492,2017-02-05,297
84536,2017-02-06,303
126075,2017-02-07,313
22141,2017-02-08,319
35739,2017-02-09,323
125349,2017-02-10,323
151948,2017-02-11,324
102363,2017-02-12,324
137255,2017-02-13,324
52074,2017-02-14,326
137189,2017-02-15,326
126749,2017-02-16,326
126296,2017-02-17,326
108820,2017-02-18,326
137248,2017-02-19,327
99401,2017-02-20,327
108757,2017-02-21,329
125187,2017-02-22,330
106761,2017-02-23,330
113210,2017-02-24,332
146030,2017-02-25,339
106784,2017-02-26,340
36342,2017-02-27,349
101573,2017-02-28,349
108653,2017-03-01,349
127255,2017-03-02,350
145955,2017-03-03,350
111765,2017-03-04,352
106538,2017-03-05,354
137502,2017-03-06,357
125962,2017-03-07,370
137199,2017-03-08,372
126751,2017-03-09,372
125450,2017-03-10,373
145163,2017-03-11,374
106857,2017-03-12,377
108727,2017-03-13,377
125186,2017-03-14,377
127851,2017-03-15,378
137500,2017-03-16,379
127787,2017-03-17,379
108782,2017-03-18,379
108726,2017-03-19,379
101549,2017-03-20,381
106673,2017-03-21,384
137185,2017-03-22,391
125267,2017-03-23,392
111791,2017-03-24,398
127675,2017-03-25,398
144167,2017-03-26,397
137139,2017-03-27,397
127743,2017-03-28,397
146206,2017-03-29,399
108968,2017-03-30,400
96252,2017-04-01,400
111782,2017-04-02,403
137263,2017-04-03,406
22458,2017-04-04,410
126358,2017-04-05,414
130487,2017-04-06,415
87008,2017-04-07,416
126508,2017-04-08,416
125616,2017-04-09,416
133301,2017-04-10,416
125483,2017-04-11,420
145038,2017-04-12,422
125658,2017-04-13,424
125657,2017-04-14,426
144609,2017-04-15,427
125716,2017-04-16,427
156288,2017-04-17,429
112844,2017-04-18,434
87672,2017-04-19,441
102966,2017-04-20,448
127005,2017-04-21,453
156327,2017-04-23,454
84540,2017-04-24,455
137394,2017-04-25,457
108350,2017-04-27,462
120546,2017-04-28,463
88279,2017-04-29,463
106324,2017-04-30,463
133321,2017-05-01,466
156389,2017-05-02,472
87528,2017-05-03,480
156382,2017-05-04,496
21817,2017-05-05,506
105154,2017-05-06,509
83404,2017-05-07,511
127853,2017-05-08,516
109051,2017-05-09,521
156295,2017-05-10,528
156551,2017-05-11,536
144908,2017-05-12,539
127535,2017-05-13,543
144912,2017-05-14,544
113185,2017-05-15,554
111817,2017-05-16,558
108941,2017-05-17,568
113639,2017-05-18,573
126103,2017-05-19,579
144877,2017-05-21,583
137607,2017-05-22,583
156571,2017-05-23,593
87524,2017-05-24,602
22419,2017-05-25,609
88028,2017-05-26,616
144905,2017-05-27,618
102460,2017-05-28,619
156378,2017-05-29,622
125472,2017-05-30,634
109007,2017-05-31,639
105894,2017-06-01,641
126815,2017-06-02,646
125929,2017-06-03,647
84382,2017-06-04,648
125959,2017-06-05,648
125701,2017-06-06,653
144917,2017-06-07,662
126326,2017-06-08,664
26145,2017-06-09,667
128453,2017-06-11,669
126507,2017-06-12,670
77662,2017-06-13,673
127122,2017-06-14,673
127367,2017-06-15,673
126145,2017-06-16,676
119708,2017-06-17,676
138115,2017-06-18,679
102809,2017-06-19,680
87665,2017-06-20,685
127447,2017-06-21,693
111774,2017-06-22,698
127004,2017-06-23,702
127864,2017-06-24,704
111930,2017-06-25,706
126580,2017-06-26,747
111945,2017-06-27,768
111871,2017-06-28,783
128060,2017-06-29,792
111949,2017-07-02,793
84451,2017-07-03,796
145119,2017-07-04,807
125966,2017-07-05,810
126716,2017-07-06,811
126220,2017-07-07,811
158465,2017-07-08,811
163483,2017-07-09,815
125631,2017-07-10,815
83339,2017-07-11,822
144540,2017-07-12,690
127546,2017-07-13,692
22491,2017-07-14,692
127537,2017-07-15,692
144884,2017-07-16,693
144919,2017-07-17,695
31277,2017-07-18,698
112504,2017-07-19,699
126727,2017-07-20,700
127419,2017-07-21,700
145168,2017-07-22,701
144791,2017-07-23,701
103156,2017-07-24,704
126723,2017-07-25,706
149120,2017-07-26,708
101383,2017-07-27,709
52083,2017-07-28,710
109208,2017-07-30,710
36360,2017-07-31,711
113198,2017-08-01,722
36410,2017-08-02,734
22480,2017-08-03,735
126320,2017-08-04,735
101386,2017-08-05,735
137485,2017-08-06,738
22484,2017-08-07,739
126362,2017-08-08,742
106164,2017-08-09,742
105917,2017-08-10,742
21840,2017-08-11,743
22759,2017-08-12,744
145005,2017-08-13,744
103633,2017-08-14,746
125099,2017-08-15,749
127789,2017-08-16,750
158862,2017-08-17,750
125343,2017-08-18,750
151319,2017-08-19,752
119081,2017-08-20,757
103881,2017-08-21,762
22204,2017-08-22,764
32974,2017-08-23,765
111768,2017-08-24,765
104642,2017-08-25,769
61021,2017-08-26,769
126332,2017-08-27,769
133307,2017-08-28,769
35762,2017-08-29,771
126265,2017-08-30,771
137260,2017-08-31,773
144963,2017-09-01,777
126722,2017-09-02,777
144997,2017-09-03,778
145577,2017-09-04,785
111797,2017-09-05,790
137457,2017-09-06,792
156412,2017-09-07,807
113187,2017-09-08,808
144506,2017-09-09,813
102771,2017-09-10,816
87880,2017-09-11,819
35750,2017-09-12,825
35752,2017-09-13,830
111856,2017-09-14,834
130949,2017-09-15,862
145042,2017-09-16,868
126439,2017-09-17,869
137422,2017-09-18,878
111857,2017-09-19,885
126656,2017-09-20,893
126366,2017-09-21,896
126701,2017-09-22,897
126705,2017-09-23,898
126379,2017-09-24,899
126510,2017-09-25,900
106684,2017-09-26,903
126652,2017-09-27,905
126392,2017-09-28,896
145969,2017-09-29,897
156316,2017-09-30,898
126398,2017-10-01,898
52086,2017-10-02,899
137440,2017-10-03,900
126403,2017-10-04,901
126732,2017-10-05,902
109790,2017-10-06,902
158461,2017-10-07,904
126345,2017-10-08,909
126346,2017-10-09,910
126784,2017-10-10,921
137527,2017-10-11,924
126939,2017-10-12,966
126805,2017-10-13,969
133234,2017-10-14,969
137476,2017-10-15,971
152153,2017-10-16,978
137887,2017-10-17,982
127986,2017-10-18,989
36152,2017-10-19,991
127494,2017-10-20,991
87591,2017-10-21,993
109010,2017-10-22,993
51974,2017-10-23,994
156542,2017-10-24,995
106815,2017-10-25,996
108765,2017-10-26,996
109263,2017-10-28,996
152169,2017-10-29,998
126974,2017-10-30,1004
126737,2017-10-31,1004
137591,2017-11-01,1009
102439,2017-11-02,1011
102407,2017-11-03,1011
137274,2017-11-04,1012
137889,2017-11-05,1013
156401,2017-11-06,1018
108442,2017-11-07,1021
138868,2017-11-08,1025
137732,2017-11-09,1032
105977,2017-11-10,1032
119618,2017-11-11,1033
137567,2017-11-12,1033
126653,2017-11-13,1033
125084,2017-11-14,1033
133256,2017-11-15,1037
105925,2017-11-16,1043
127843,2017-11-17,1045
106000,2017-11-18,1045
21930,2017-11-19,1048
153063,2017-11-20,1060
133250,2017-11-21,1068
137795,2017-11-22,1082
108878,2017-11-23,1082
109008,2017-11-25,1084
105933,2017-11-26,1085
128761,2017-11-27,1107
108370,2017-11-28,1117
84498,2017-11-29,1119
98545,2017-11-30,1116
125659,2017-12-01,1080
144520,2017-12-02,1081
137570,2017-12-03,1081
125950,2017-12-04,1081
125967,2017-12-05,1082
84237,2017-12-06,1072
125616,2017-12-07,768
146583,2017-12-08,768
158422,2017-12-09,768
126960,2017-12-10,768
105189,2017-12-11,769
138141,2017-12-12,768
137302,2017-12-13,767
137133,2017-12-14,767
108880,2017-12-15,738
154596,2017-12-16,739
137429,2017-12-17,741
137423,2017-12-18,741
137182,2017-12-21,741
105146,2017-12-22,741
8163,2017-12-26,741
108631,2017-12-27,741
137511,2017-12-29,741
127286,2017-12-30,741
137436,2017-12-31,741
137334,2018-01-01,738
100033,2018-01-02,762
106108,2018-01-03,767
22264,2018-01-04,768
144238,2018-01-05,770
148184,2018-01-06,771
145631,2018-01-07,774
137851,2018-01-08,796
22059,2018-01-09,874
106329,2018-01-10,890
100013,2018-01-11,898
30873,2018-01-12,907
137627,2018-01-13,910
138065,2018-01-14,911
36187,2018-01-15,921
125399,2018-01-16,962
113396,2018-01-17,1009
109215,2018-01-18,1060
106393,2018-01-19,1085
113393,2018-01-20,1088
137505,2018-01-21,1095
30843,2018-01-22,1124
109176,2018-01-23,1103
109222,2018-01-24,1127
109177,2018-01-25,1131
126231,2018-01-26,1138
78543,2018-01-27,1139
126000,2018-01-28,1140
84652,2018-01-29,1158
129597,2018-01-30,1323
22107,2018-01-31,1385
137572,2018-02-01,1449
156523,2018-02-02,1556
138024,2018-02-03,1566
83985,2018-02-04,1569
127589,2018-02-05,1725
85094,2018-02-06,1844
137646,2018-02-07,1886
156440,2018-02-08,1921
109433,2018-02-09,1945
129928,2018-02-10,1947
138000,2018-02-11,1955
146066,2018-02-12,1979
145502,2018-02-13,1986
109497,2018-02-14,1997
109286,2018-02-15,2007
10703,2018-02-16,2017
151953,2018-02-17,2019
128231,2018-02-18,2024
156491,2018-02-19,2030
22178,2018-02-20,2048
104042,2018-02-21,2063
127842,2018-02-22,2064
145228,2018-02-23,2071
83952,2018-02-24,2078
145234,2018-02-25,2079
163852,2018-02-26,2086
145481,2018-02-27,2094
112864,2018-02-28,2098
138009,2018-03-01,2125
120109,2018-03-02,2138
109478,2018-03-03,2141
138014,2018-03-04,2144
83460,2018-03-05,2308
127436,2018-03-06,2337
36041,2018-03-07,2351
145572,2018-03-08,2375
126721,2018-03-09,2383
112440,2018-03-10,2392
98548,2018-03-11,2393
106272,2018-03-12,2401
85290,2018-03-13,2413
128727,2018-03-14,2407
125331,2018-03-15,2392
137493,2018-03-16,2367
104943,2018-03-17,2368
144699,2018-03-18,2370
133371,2018-03-19,2389
152091,2018-03-20,2411
109377,2018-03-21,2423
156473,2018-03-22,2437
22155,2018-03-23,2464
35808,2018-03-24,2467
145491,2018-03-25,2470
100789,2018-03-26,2470
22244,2018-03-27,2481
151529,2018-03-28,2485
66961,2018-03-29,2480
22411,2018-03-30,2479
96211,2018-03-31,2479
103218,2018-04-01,2480
23447,2018-04-02,2172
151738,2018-04-03,2179
99452,2018-04-04,2194
