,ds,y
3264,2015-05-21,0
6255,2016-01-01,-1
6237,2016-01-05,-2
5815,2016-01-07,-2
6243,2016-01-12,-3
5594,2016-01-29,-3
1067,2016-02-12,-3
3321,2016-02-16,-3
3367,2016-02-19,-3
6026,2016-04-29,-4
1083,2016-06-10,-5
3372,2016-06-14,-5
1106,2016-06-26,-5
5390,2016-06-27,-5
5336,2016-06-28,-5
2338,2016-06-29,-5
1081,2016-06-30,-5
1021,2016-07-04,-5
5792,2016-07-11,-5
2325,2016-07-14,-5
3266,2016-07-17,-5
2340,2016-07-18,-5
5649,2016-07-19,-5
982,2016-07-20,-5
5681,2016-07-21,-5
5333,2016-07-24,-5
5581,2016-07-27,-5
5838,2016-07-28,-5
1024,2016-07-29,8
2343,2016-07-31,8
5844,2016-08-01,9
5568,2016-08-02,11
3368,2016-08-09,11
3271,2016-08-10,11
5787,2016-08-11,11
223,2016-08-13,11
1812,2016-08-14,12
1817,2016-08-15,21
6021,2016-08-16,47
6027,2016-08-17,63
5809,2016-08-22,77
3292,2016-08-23,77
1000,2016-08-24,77
1010,2016-08-25,77
2327,2016-08-26,86
1011,2016-08-29,86
5670,2016-08-30,86
1820,2016-08-31,85
3273,2016-09-04,85
996,2016-09-05,85
978,2016-09-06,85
5382,2016-09-07,85
5836,2016-10-02,85
3469,2016-10-03,85
227,2016-10-04,85
1026,2016-10-09,85
4456,2016-10-10,85
230,2016-10-11,86
3284,2016-10-12,86
5651,2016-10-13,86
1036,2016-10-17,86
1390,2016-10-18,87
5806,2016-10-20,90
3294,2016-10-24,90
3470,2016-10-27,90
5328,2016-10-29,91
5808,2016-10-31,91
5916,2016-11-01,91
2350,2016-11-07,91
5704,2016-11-08,91
4529,2016-11-09,91
6273,2016-11-10,90
6087,2016-11-11,103
5654,2016-11-14,111
5523,2016-11-15,111
241,2016-11-16,111
5715,2016-11-17,111
5810,2016-11-18,112
245,2016-11-20,112
1199,2016-11-21,112
6053,2016-11-22,111
4462,2016-11-23,111
69,2016-11-25,112
6088,2016-11-27,113
5908,2016-11-28,114
6059,2016-11-29,115
1236,2016-11-30,117
246,2016-12-06,119
5444,2016-12-07,119
1978,2016-12-08,122
5450,2016-12-12,122
5452,2016-12-13,123
1042,2016-12-14,123
5457,2016-12-15,123
2906,2016-12-19,123
6028,2016-12-29,122
246,2016-12-31,122
213,2017-01-01,122
244,2017-01-02,122
1013,2017-01-03,122
1234,2017-01-04,121
3591,2017-01-06,120
1076,2017-01-08,120
1605,2017-01-10,120
6094,2017-01-12,121
4864,2017-01-16,121
569,2017-01-17,123
623,2017-01-18,124
4110,2017-01-22,125
4112,2017-01-23,125
5460,2017-01-24,124
1084,2017-01-25,124
5461,2017-01-27,124
6042,2017-01-29,123
1027,2017-01-30,121
2557,2017-01-31,121
451,2017-02-01,120
5918,2017-02-02,121
5963,2017-02-03,121
2360,2017-02-06,121
5815,2017-02-08,121
1049,2017-02-09,122
1404,2017-02-10,123
6254,2017-02-12,124
1405,2017-02-13,142
5582,2017-02-15,143
1052,2017-02-17,144
4114,2017-02-21,144
5478,2017-02-22,145
1603,2017-02-23,145
4823,2017-02-24,149
4827,2017-02-25,149
4555,2017-02-26,153
1815,2017-02-27,153
4556,2017-02-28,153
3328,2017-03-01,154
1161,2017-03-02,155
577,2017-03-04,155
576,2017-03-05,155
3592,2017-03-06,155
4115,2017-03-07,156
1706,2017-03-08,158
5601,2017-03-09,160
5608,2017-03-10,163
1054,2017-03-13,164
5613,2017-03-14,165
5614,2017-03-15,165
5681,2017-03-20,165
6344,2017-03-22,166
5521,2017-03-26,167
4118,2017-03-27,167
4075,2017-03-28,167
325,2017-03-29,171
4828,2017-03-30,184
228,2017-03-31,184
3368,2017-04-02,187
5481,2017-04-03,187
1066,2017-04-04,189
6152,2017-04-05,190
3759,2017-04-06,190
1710,2017-04-07,191
586,2017-04-09,194
506,2017-04-10,193
6153,2017-04-11,194
3397,2017-04-12,194
1711,2017-04-13,195
6290,2017-04-15,195
585,2017-04-16,195
482,2017-04-18,195
3197,2017-04-19,196
601,2017-04-20,197
574,2017-04-23,196
5494,2017-04-24,196
6103,2017-04-25,209
6296,2017-04-28,210
5855,2017-04-29,209
6050,2017-04-30,208
5707,2017-05-01,208
3041,2017-05-02,209
3341,2017-05-03,209
5787,2017-05-04,213
3841,2017-05-05,214
6297,2017-05-07,214
1369,2017-05-08,214
1065,2017-05-09,214
3478,2017-05-10,214
1406,2017-05-11,214
6298,2017-05-12,215
3353,2017-05-15,215
6345,2017-05-16,216
1833,2017-05-17,218
6255,2017-05-18,236
2364,2017-05-19,238
1712,2017-05-20,242
5777,2017-05-22,242
4076,2017-05-23,243
1073,2017-05-24,250
4535,2017-05-26,251
6034,2017-05-29,252
5865,2017-05-30,267
4131,2017-05-31,266
1714,2017-06-01,266
6250,2017-06-05,267
6154,2017-06-08,266
6306,2017-06-12,266
6159,2017-06-13,266
1074,2017-06-14,266
4884,2017-06-15,266
5862,2017-06-17,267
2922,2017-06-19,267
6162,2017-06-20,269
1235,2017-06-21,268
624,2017-06-22,268
2926,2017-06-23,269
589,2017-06-25,270
3753,2017-06-26,270
3758,2017-06-27,273
6375,2017-06-28,302
6256,2017-06-29,317
3168,2017-06-30,323
520,2017-07-03,342
516,2017-07-04,350
6164,2017-07-05,351
594,2017-07-06,351
6247,2017-07-08,350
3365,2017-07-10,350
4562,2017-07-11,351
3189,2017-07-12,352
600,2017-07-14,376
3403,2017-07-17,375
6240,2017-07-18,374
5201,2017-07-19,375
3193,2017-07-20,375
4035,2017-07-21,376
4111,2017-07-23,376
6076,2017-07-24,377
5989,2017-07-25,377
3482,2017-07-26,377
5938,2017-07-27,377
237,2017-07-31,377
1069,2017-08-01,377
1812,2017-08-02,376
2919,2017-08-06,376
3483,2017-08-08,376
1059,2017-08-09,377
2022,2017-08-11,377
5461,2017-08-14,377
5654,2017-08-15,377
5945,2017-08-21,377
252,2017-08-22,377
3715,2017-08-28,378
1065,2017-08-29,391
5652,2017-08-30,388
1605,2017-08-31,385
5788,2017-09-03,384
985,2017-09-04,383
5870,2017-09-05,384
6124,2017-09-08,385
5702,2017-09-11,385
6310,2017-09-12,385
5527,2017-09-13,385
6165,2017-09-15,385
1308,2017-09-17,384
1244,2017-09-18,383
1602,2017-09-19,383
458,2017-09-20,383
1256,2017-09-21,383
5795,2017-09-26,383
5528,2017-09-27,383
6169,2017-10-04,381
6197,2017-10-05,381
3370,2017-10-06,381
3557,2017-10-09,382
5529,2017-10-10,383
1617,2017-10-11,385
6314,2017-10-12,385
6172,2017-10-13,386
5314,2017-10-15,386
5380,2017-10-16,386
4036,2017-10-17,386
5600,2017-10-18,385
3925,2017-10-19,386
5604,2017-10-22,388
74,2017-10-23,386
1026,2017-10-24,392
86,2017-10-25,395
5307,2017-10-26,410
1719,2017-10-27,417
5639,2017-10-29,417
983,2017-10-30,416
3773,2017-10-31,413
5312,2017-11-01,413
6180,2017-11-02,413
6320,2017-11-03,415
609,2017-11-05,416
5824,2017-11-06,420
617,2017-11-07,422
2900,2017-11-08,425
5860,2017-11-09,426
1420,2017-11-10,428
5838,2017-11-13,428
1081,2017-11-14,430
6186,2017-11-15,432
256,2017-11-16,432
1729,2017-11-17,432
3315,2017-11-19,432
6190,2017-11-20,432
6188,2017-11-21,433
3358,2017-11-22,433
1428,2017-11-24,434
6447,2017-11-26,438
2862,2017-11-27,437
6225,2017-11-28,437
617,2017-11-29,437
576,2017-11-30,434
