,ds,y
152001,2015-01-01,0
100700,2015-01-03,0
106694,2015-01-04,0
106688,2015-01-06,0
145543,2015-01-07,0
107858,2015-01-11,0
106797,2015-01-12,0
87680,2015-01-14,0
86720,2015-01-15,0
125244,2015-01-17,1
36343,2015-01-18,28
84537,2015-01-19,28
106112,2015-01-21,28
113233,2015-01-22,28
113065,2015-01-26,28
112242,2015-01-27,28
106716,2015-01-28,28
108962,2015-02-02,28
106809,2015-02-03,28
106776,2015-02-10,28
131914,2015-02-12,28
108652,2015-02-17,28
106779,2015-02-18,28
133860,2015-02-19,28
133828,2015-02-22,28
106742,2015-02-28,28
22128,2015-03-01,28
36643,2015-03-02,28
106803,2015-03-03,28
108416,2015-03-05,28
106769,2015-03-09,28
85305,2015-03-11,28
112731,2015-03-17,28
156301,2015-03-18,28
35936,2015-03-24,28
127684,2015-03-25,28
23171,2015-04-01,28
86009,2015-04-02,28
106690,2015-04-03,28
156299,2015-04-04,28
115346,2015-04-11,28
106685,2015-04-12,28
35974,2015-04-13,28
127702,2015-04-15,28
133687,2015-04-20,28
156302,2015-05-07,28
36706,2015-05-11,28
36648,2015-05-12,28
133400,2015-05-15,28
145865,2015-05-16,28
126225,2015-05-17,29
80137,2015-05-24,29
145651,2015-05-27,29
145880,2015-05-28,29
145661,2015-05-29,29
128608,2015-06-03,29
36057,2015-06-05,29
162332,2015-06-08,29
133799,2015-06-13,29
31147,2015-06-15,29
145749,2015-06-17,29
162536,2015-06-22,29
154479,2015-06-25,29
130823,2015-07-02,29
104336,2015-07-06,29
106791,2015-07-07,29
102375,2015-07-13,30
127624,2015-07-16,30
162545,2015-07-21,30
130754,2015-07-22,30
106698,2015-07-27,30
106781,2015-08-04,30
129992,2015-08-06,30
128234,2015-08-11,30
133916,2015-08-16,30
105220,2015-08-17,31
88154,2015-08-20,31
162535,2015-08-24,31
106705,2015-08-30,31
129283,2015-09-04,31
133849,2015-09-05,31
159300,2015-09-09,31
146252,2015-09-11,31
145834,2015-09-12,31
23392,2015-09-15,31
128408,2015-10-05,31
86180,2015-10-08,31
146337,2015-10-10,31
108089,2015-10-12,31
146563,2015-10-23,31
35874,2015-10-26,31
107942,2015-10-27,31
107997,2015-11-02,31
107949,2015-11-03,31
125510,2015-11-06,32
130529,2015-11-13,32
89002,2015-11-14,32
139969,2015-11-19,32
104262,2015-11-20,33
23532,2015-11-22,33
114661,2015-11-27,33
147297,2015-11-29,33
156728,2015-12-03,33
106696,2015-12-07,33
87204,2015-12-18,33
110672,2015-12-22,33
127383,2015-12-23,34
133686,2015-12-24,34
152000,2015-12-28,34
106745,2015-12-31,34
99454,2016-01-01,34
106853,2016-01-03,34
36675,2016-01-04,34
101254,2016-01-05,34
106677,2016-01-06,34
159332,2016-01-08,34
36658,2016-01-09,34
104720,2016-01-10,34
31145,2016-01-11,34
107895,2016-01-12,34
108014,2016-01-13,34
125356,2016-01-16,34
127123,2016-01-17,34
162543,2016-01-18,34
139680,2016-01-19,34
87966,2016-01-20,34
106702,2016-01-21,34
87964,2016-01-22,34
108538,2016-01-23,35
108526,2016-01-24,35
107948,2016-01-25,35
162534,2016-01-26,35
108133,2016-01-27,35
108186,2016-01-28,35
106726,2016-01-31,35
99899,2016-02-01,35
22161,2016-02-02,36
127304,2016-02-03,36
108332,2016-02-04,39
108329,2016-02-05,39
131473,2016-02-06,39
100697,2016-02-07,39
127483,2016-02-09,39
98553,2016-02-10,39
106768,2016-02-11,39
106733,2016-02-12,39
112548,2016-02-14,39
106782,2016-02-15,39
89999,2016-02-16,39
22386,2016-02-17,39
108350,2016-02-18,39
108383,2016-02-21,40
108398,2016-02-22,40
108196,2016-02-23,40
125119,2016-02-24,40
107963,2016-02-25,40
128854,2016-02-26,40
106674,2016-02-27,40
108347,2016-02-28,40
127997,2016-02-29,40
85208,2016-03-01,40
87949,2016-03-02,40
132308,2016-03-03,40
108005,2016-03-06,40
100834,2016-03-07,40
108357,2016-03-08,40
133917,2016-03-10,40
108361,2016-03-11,40
108049,2016-03-14,40
90916,2016-03-16,40
127107,2016-03-17,41
153762,2016-03-18,41
126914,2016-03-19,42
149459,2016-03-20,42
125678,2016-03-23,42
125532,2016-03-25,42
145214,2016-03-27,42
127578,2016-03-29,42
106714,2016-04-03,42
106701,2016-04-04,42
125283,2016-04-05,42
84235,2016-04-07,42
112030,2016-04-10,42
125249,2016-04-11,42
36651,2016-04-13,42
153871,2016-04-15,42
149283,2016-04-16,42
125118,2016-04-19,42
127440,2016-04-21,42
125536,2016-04-22,42
108837,2016-04-25,42
108405,2016-04-26,42
67710,2016-04-28,42
108331,2016-05-01,42
108400,2016-05-02,42
106838,2016-05-03,42
106839,2016-05-04,42
100667,2016-05-05,42
102480,2016-05-06,42
144403,2016-05-09,42
106353,2016-05-10,42
100121,2016-05-11,42
132611,2016-05-13,42
108411,2016-05-15,42
153043,2016-05-16,42
112800,2016-05-17,42
106420,2016-05-18,43
119486,2016-05-21,43
108367,2016-05-22,43
108378,2016-05-24,43
108379,2016-05-25,43
159324,2016-05-27,43
108372,2016-05-29,43
106865,2016-05-31,45
154801,2016-06-01,45
162439,2016-06-03,45
23150,2016-06-06,45
106760,2016-06-08,45
127331,2016-06-09,46
127490,2016-06-10,47
117768,2016-06-12,47
125123,2016-06-13,47
127672,2016-06-14,47
125272,2016-06-15,47
125809,2016-06-17,47
60233,2016-06-21,47
125506,2016-06-22,48
106692,2016-06-23,48
131448,2016-06-29,48
106864,2016-06-30,48
36640,2016-07-01,48
104210,2016-07-02,48
109048,2016-07-03,48
106807,2016-07-05,48
105141,2016-07-07,48
108591,2016-07-11,48
126926,2016-07-15,48
127969,2016-07-18,48
156405,2016-07-19,48
127850,2016-07-22,49
108278,2016-07-24,49
154147,2016-07-26,49
22165,2016-07-27,49
25480,2016-07-29,49
102791,2016-08-02,49
106762,2016-08-03,49
160124,2016-08-04,49
133699,2016-08-08,49
158605,2016-08-09,49
92427,2016-08-10,49
127109,2016-08-11,50
108695,2016-08-12,50
107958,2016-08-14,50
145064,2016-08-15,50
22384,2016-08-16,50
127368,2016-08-17,51
101388,2016-08-18,51
127370,2016-08-19,52
80414,2016-08-22,52
154469,2016-08-24,52
141162,2016-08-25,52
30860,2016-08-26,52
114380,2016-08-27,52
107962,2016-08-28,52
108299,2016-08-29,52
36644,2016-09-01,52
7931,2016-09-02,53
132032,2016-09-03,54
108167,2016-09-05,54
108421,2016-09-06,54
127542,2016-09-07,54
134204,2016-09-09,54
102462,2016-09-10,54
87095,2016-09-12,54
127491,2016-09-13,55
89064,2016-09-15,55
127366,2016-09-21,56
132048,2016-09-24,56
87948,2016-09-30,56
108125,2016-10-02,56
144698,2016-10-03,56
106817,2016-10-04,56
106847,2016-10-05,56
84415,2016-10-08,56
109076,2016-10-09,56
108174,2016-10-10,56
125234,2016-10-11,56
127700,2016-10-12,56
127240,2016-10-13,56
125351,2016-10-14,56
125126,2016-10-17,57
108413,2016-10-18,57
106691,2016-10-20,57
125333,2016-10-21,57
125328,2016-10-24,57
108389,2016-10-26,57
106798,2016-10-31,57
108275,2016-11-02,57
108276,2016-11-03,57
73586,2016-11-04,57
144690,2016-11-07,57
106704,2016-11-09,57
98207,2016-11-14,57
127981,2016-11-15,57
106833,2016-11-16,57
125218,2016-11-17,58
125361,2016-11-18,59
107010,2016-11-20,59
127626,2016-11-22,59
117489,2016-11-23,59
109076,2016-11-24,59
127689,2016-11-28,59
108565,2016-11-30,59
108561,2016-12-01,59
108710,2016-12-02,59
108617,2016-12-03,59
99036,2016-12-04,59
106816,2016-12-05,59
138130,2016-12-06,59
127581,2016-12-08,60
108709,2016-12-09,60
131486,2016-12-11,60
125330,2016-12-12,60
108606,2016-12-13,60
113954,2016-12-14,60
127553,2016-12-15,60
108955,2016-12-19,60
125537,2016-12-21,60
108607,2016-12-26,60
108953,2016-12-28,60
37263,2016-12-30,60
106843,2016-12-31,60
22142,2017-01-01,60
6726,2017-01-02,60
31150,2017-01-03,60
106793,2017-01-04,60
108713,2017-01-05,60
106389,2017-01-06,60
129868,2017-01-07,61
106873,2017-01-08,62
22146,2017-01-09,66
102385,2017-01-10,72
108887,2017-01-11,78
108715,2017-01-12,78
127772,2017-01-13,78
106717,2017-01-14,78
125251,2017-01-15,78
108390,2017-01-16,78
125105,2017-01-17,81
108797,2017-01-18,98
127548,2017-01-19,98
87931,2017-01-20,98
125359,2017-01-21,98
108884,2017-01-22,98
102965,2017-01-23,99
106823,2017-01-24,99
127618,2017-01-25,99
125207,2017-01-26,100
101385,2017-01-27,100
149110,2017-01-29,100
108531,2017-01-30,100
126170,2017-01-31,101
151720,2017-02-01,101
109199,2017-02-02,102
126682,2017-02-03,102
100090,2017-02-04,104
137492,2017-02-05,104
84536,2017-02-06,104
126075,2017-02-07,120
22141,2017-02-08,123
35739,2017-02-09,123
125349,2017-02-10,123
151948,2017-02-11,123
102363,2017-02-12,123
137255,2017-02-13,123
52074,2017-02-14,126
137189,2017-02-15,128
126749,2017-02-16,128
126296,2017-02-17,129
108820,2017-02-18,130
137248,2017-02-19,130
99401,2017-02-20,130
108757,2017-02-21,130
125187,2017-02-22,130
106761,2017-02-23,130
113210,2017-02-24,130
146030,2017-02-25,131
106784,2017-02-26,131
36342,2017-02-27,131
101573,2017-02-28,131
