,ds,y
3264,2015-05-21,0
6255,2016-01-01,0
6237,2016-01-05,0
5815,2016-01-07,0
6243,2016-01-12,0
5594,2016-01-29,0
1067,2016-02-12,0
3321,2016-02-16,0
3367,2016-02-19,0
6026,2016-04-29,0
1083,2016-06-10,0
3372,2016-06-14,0
1106,2016-06-26,0
5390,2016-06-27,0
5336,2016-06-28,0
2338,2016-06-29,0
1081,2016-06-30,0
1021,2016-07-04,0
5792,2016-07-11,0
2325,2016-07-14,0
3266,2016-07-17,0
2340,2016-07-18,0
5649,2016-07-19,0
982,2016-07-20,0
5681,2016-07-21,0
5333,2016-07-24,0
5581,2016-07-27,0
5838,2016-07-28,0
1024,2016-07-29,0
2343,2016-07-31,0
5844,2016-08-01,0
5568,2016-08-02,0
3368,2016-08-09,0
3271,2016-08-10,0
5787,2016-08-11,0
223,2016-08-13,0
1812,2016-08-14,0
1817,2016-08-15,0
6021,2016-08-16,0
6027,2016-08-17,0
5809,2016-08-22,0
3292,2016-08-23,0
1000,2016-08-24,0
1010,2016-08-25,0
2327,2016-08-26,0
1011,2016-08-29,0
5670,2016-08-30,0
1820,2016-08-31,0
3273,2016-09-04,0
996,2016-09-05,0
978,2016-09-06,0
5382,2016-09-07,0
5836,2016-10-02,0
3469,2016-10-03,1
227,2016-10-04,1
1026,2016-10-09,1
4456,2016-10-10,1
230,2016-10-11,1
3284,2016-10-12,1
5651,2016-10-13,1
1036,2016-10-17,1
1390,2016-10-18,1
5806,2016-10-20,1
3294,2016-10-24,1
3470,2016-10-27,1
5328,2016-10-29,1
5808,2016-10-31,1
5916,2016-11-01,1
2350,2016-11-07,1
5704,2016-11-08,1
4529,2016-11-09,1
6273,2016-11-10,2
6087,2016-11-11,2
5654,2016-11-14,2
5523,2016-11-15,2
241,2016-11-16,2
5715,2016-11-17,2
5810,2016-11-18,2
245,2016-11-20,2
1199,2016-11-21,2
6053,2016-11-22,2
4462,2016-11-23,2
69,2016-11-25,2
6088,2016-11-27,2
5908,2016-11-28,2
6059,2016-11-29,2
1236,2016-11-30,2
246,2016-12-06,2
5444,2016-12-07,2
1978,2016-12-08,2
5450,2016-12-12,2
5452,2016-12-13,2
1042,2016-12-14,2
5457,2016-12-15,2
2906,2016-12-19,2
6028,2016-12-29,2
246,2016-12-31,2
213,2017-01-01,2
244,2017-01-02,2
1013,2017-01-03,2
1234,2017-01-04,2
3591,2017-01-06,2
1076,2017-01-08,2
1605,2017-01-10,2
6094,2017-01-12,2
4864,2017-01-16,3
569,2017-01-17,3
623,2017-01-18,3
4110,2017-01-22,3
4112,2017-01-23,3
5460,2017-01-24,3
1084,2017-01-25,3
5461,2017-01-27,3
6042,2017-01-29,3
1027,2017-01-30,3
2557,2017-01-31,3
451,2017-02-01,3
5918,2017-02-02,3
5963,2017-02-03,3
2360,2017-02-06,3
5815,2017-02-08,3
1049,2017-02-09,3
1404,2017-02-10,3
6254,2017-02-12,3
1405,2017-02-13,3
5582,2017-02-15,3
1052,2017-02-17,3
4114,2017-02-21,3
5478,2017-02-22,3
1603,2017-02-23,3
4823,2017-02-24,3
4827,2017-02-25,3
4555,2017-02-26,3
1815,2017-02-27,3
4556,2017-02-28,5
3328,2017-03-01,5
1161,2017-03-02,5
577,2017-03-04,5
576,2017-03-05,5
3592,2017-03-06,5
4115,2017-03-07,5
1706,2017-03-08,5
5601,2017-03-09,5
5608,2017-03-10,5
1054,2017-03-13,5
5613,2017-03-14,5
5614,2017-03-15,5
5681,2017-03-20,5
6344,2017-03-22,5
5521,2017-03-26,5
4118,2017-03-27,5
4075,2017-03-28,5
325,2017-03-29,5
4828,2017-03-30,5
228,2017-03-31,5
3368,2017-04-02,5
5481,2017-04-03,5
1066,2017-04-04,5
6152,2017-04-05,5
3759,2017-04-06,5
1710,2017-04-07,5
586,2017-04-09,5
506,2017-04-10,5
6153,2017-04-11,5
3397,2017-04-12,5
1711,2017-04-13,5
6290,2017-04-15,5
585,2017-04-16,5
482,2017-04-18,5
3197,2017-04-19,6
601,2017-04-20,6
574,2017-04-23,6
5494,2017-04-24,6
6103,2017-04-25,6
6296,2017-04-28,6
5855,2017-04-29,6
6050,2017-04-30,6
5707,2017-05-01,6
3041,2017-05-02,6
3341,2017-05-03,6
5787,2017-05-04,6
3841,2017-05-05,6
6297,2017-05-07,6
1369,2017-05-08,6
1065,2017-05-09,6
3478,2017-05-10,6
1406,2017-05-11,6
6298,2017-05-12,6
3353,2017-05-15,6
6345,2017-05-16,6
1833,2017-05-17,6
6255,2017-05-18,6
2364,2017-05-19,8
1712,2017-05-20,8
5777,2017-05-22,8
4076,2017-05-23,8
1073,2017-05-24,8
4535,2017-05-26,8
6034,2017-05-29,8
5865,2017-05-30,8
4131,2017-05-31,8
1714,2017-06-01,8
6250,2017-06-05,8
6154,2017-06-08,8
6306,2017-06-12,8
6159,2017-06-13,8
1074,2017-06-14,8
4884,2017-06-15,8
5862,2017-06-17,8
2922,2017-06-19,8
6162,2017-06-20,8
1235,2017-06-21,8
624,2017-06-22,8
2926,2017-06-23,8
589,2017-06-25,8
3753,2017-06-26,8
3758,2017-06-27,8
6375,2017-06-28,8
6256,2017-06-29,8
3168,2017-06-30,8
520,2017-07-03,8
516,2017-07-04,8
6164,2017-07-05,8
594,2017-07-06,8
6247,2017-07-08,8
3365,2017-07-10,8
4562,2017-07-11,8
3189,2017-07-12,8
600,2017-07-14,8
3403,2017-07-17,8
6240,2017-07-18,8
5201,2017-07-19,8
3193,2017-07-20,8
4035,2017-07-21,8
4111,2017-07-23,8
6076,2017-07-24,8
5989,2017-07-25,8
3482,2017-07-26,8
5938,2017-07-27,8
237,2017-07-31,8
1069,2017-08-01,8
1812,2017-08-02,8
2919,2017-08-06,8
3483,2017-08-08,8
1059,2017-08-09,8
2022,2017-08-11,8
5461,2017-08-14,8
5654,2017-08-15,8
5945,2017-08-21,8
252,2017-08-22,8
3715,2017-08-28,8
1065,2017-08-29,8
5652,2017-08-30,8
1605,2017-08-31,8
5788,2017-09-03,8
985,2017-09-04,8
5870,2017-09-05,8
6124,2017-09-08,8
5702,2017-09-11,8
6310,2017-09-12,8
5527,2017-09-13,8
6165,2017-09-15,8
1308,2017-09-17,8
1244,2017-09-18,8
1602,2017-09-19,8
458,2017-09-20,8
1256,2017-09-21,8
5795,2017-09-26,8
5528,2017-09-27,8
6169,2017-10-04,8
6197,2017-10-05,8
3370,2017-10-06,8
3557,2017-10-09,8
5529,2017-10-10,8
1617,2017-10-11,8
6314,2017-10-12,9
6172,2017-10-13,9
5314,2017-10-15,9
5380,2017-10-16,9
4036,2017-10-17,9
5600,2017-10-18,9
3925,2017-10-19,9
5604,2017-10-22,9
74,2017-10-23,9
1026,2017-10-24,9
86,2017-10-25,9
5307,2017-10-26,9
1719,2017-10-27,9
5639,2017-10-29,9
983,2017-10-30,9
3773,2017-10-31,9
5312,2017-11-01,9
6180,2017-11-02,9
6320,2017-11-03,9
609,2017-11-05,9
5824,2017-11-06,9
617,2017-11-07,9
2900,2017-11-08,9
5860,2017-11-09,9
1420,2017-11-10,9
5838,2017-11-13,9
1081,2017-11-14,9
6186,2017-11-15,9
256,2017-11-16,9
1729,2017-11-17,9
3315,2017-11-19,9
6190,2017-11-20,9
6188,2017-11-21,9
3358,2017-11-22,9
1428,2017-11-24,9
6447,2017-11-26,9
2862,2017-11-27,9
6225,2017-11-28,9
617,2017-11-29,9
576,2017-11-30,9
6192,2017-12-01,9
5902,2017-12-03,9
590,2017-12-04,9
5475,2017-12-05,9
2642,2017-12-06,9
1616,2017-12-07,9
626,2017-12-08,9
2648,2017-12-11,9
5655,2017-12-12,9
6463,2017-12-13,9
3372,2017-12-14,9
2867,2017-12-15,9
6355,2017-12-17,9
254,2017-12-18,9
1526,2017-12-19,9
5587,2017-12-29,9
234,2017-12-31,9
3751,2018-01-01,9
5342,2018-01-02,9
1974,2018-01-04,9
2921,2018-01-07,9
4831,2018-01-08,9
5664,2018-01-09,9
6204,2018-01-10,9
620,2018-01-11,9
6162,2018-01-14,9
6281,2018-01-15,9
6206,2018-01-16,9
2690,2018-01-17,9
3781,2018-01-19,9
4382,2018-01-21,9
6161,2018-01-22,9
3924,2018-01-23,9
3049,2018-01-24,9
6071,2018-01-25,9
6278,2018-01-26,9
4123,2018-01-28,9
5477,2018-01-29,9
1832,2018-01-30,9
3176,2018-01-31,9
255,2018-02-01,9
6119,2018-02-02,9
1831,2018-02-04,9
350,2018-02-05,9
96,2018-02-06,9
1509,2018-02-07,9
1512,2018-02-08,9
1522,2018-02-09,9
767,2018-02-11,9
4124,2018-02-12,9
602,2018-02-13,9
518,2018-02-14,9
512,2018-02-15,9
2652,2018-02-16,9
1094,2018-02-17,9
6333,2018-02-18,9
2374,2018-02-19,9
6063,2018-02-20,9
3177,2018-02-21,9
5818,2018-02-22,9
622,2018-02-23,9
619,2018-02-25,9
2655,2018-02-26,9
3766,2018-02-27,9
5456,2018-02-28,9
5739,2018-03-01,9
1257,2018-03-02,9
4826,2018-03-03,9
1203,2018-03-04,9
5876,2018-03-05,9
3053,2018-03-06,9
3054,2018-03-07,9
3988,2018-03-08,9
1269,2018-03-10,9
2626,2018-03-11,9
5439,2018-03-12,9
1265,2018-03-13,9
6209,2018-03-14,10
4885,2018-03-15,10
5965,2018-03-16,10
1850,2018-03-18,10
2629,2018-03-19,11
3294,2018-03-20,11
118,2018-03-21,11
3390,2018-03-22,11
3771,2018-03-23,11
505,2018-03-24,11
6370,2018-03-25,11
5741,2018-03-26,11
520,2018-03-27,11
3192,2018-03-28,11
3170,2018-03-29,11
1609,2018-03-30,11
5696,2018-03-31,11
3774,2018-04-01,11
6152,2018-04-02,11
1127,2018-04-03,11
2880,2018-04-04,11
2377,2018-04-05,11
3611,2018-04-06,11
2381,2018-04-08,11
2966,2018-04-09,11
5463,2018-04-10,11
253,2018-04-11,11
2393,2018-04-12,11
5735,2018-04-15,11
2979,2018-04-16,11
2383,2018-04-17,12
6454,2018-04-18,12
3609,2018-04-19,12
1249,2018-04-21,12
6226,2018-04-23,12
2983,2018-04-24,12
2686,2018-04-25,12
3610,2018-04-26,12
1023,2018-04-29,12
5313,2018-04-30,12
6178,2018-05-01,12
1459,2018-05-02,12
2692,2018-05-03,12
6473,2018-05-06,12
3595,2018-05-07,12
3827,2018-05-08,12
6334,2018-05-09,12
5110,2018-05-10,12
1731,2018-05-13,12
6011,2018-05-14,12
1449,2018-05-15,12
2721,2018-05-16,12
5415,2018-05-17,12
2714,2018-05-20,12
5768,2018-05-21,12
3658,2018-05-22,12
2984,2018-05-23,12
6481,2018-05-24,12
575,2018-05-27,12
1105,2018-05-28,12
1450,2018-05-29,12
6483,2018-05-31,12
2991,2018-06-03,13
3001,2018-06-04,13
1553,2018-06-05,13
1460,2018-06-06,13
1110,2018-06-07,13
5546,2018-06-08,13
5772,2018-06-10,13
5143,2018-06-11,13
3488,2018-06-12,13
2895,2018-06-13,13
2998,2018-06-14,13
6221,2018-06-17,13
6220,2018-06-18,13
642,2018-06-19,13
6450,2018-06-20,13
5751,2018-06-21,13
2398,2018-06-24,13
128,2018-06-25,13
2407,2018-06-26,13
1843,2018-06-27,13
6445,2018-06-28,13
6479,2018-06-29,13
5758,2018-06-30,13
5535,2018-07-01,13
3037,2018-07-02,13
3616,2018-07-03,13
2080,2018-07-04,13
5767,2018-07-05,13
5949,2018-07-08,13
5540,2018-07-09,13
6241,2018-07-10,13
3359,2018-07-11,13
5120,2018-07-12,13
6182,2018-07-14,13
5541,2018-07-15,13
2402,2018-07-16,13
5988,2018-07-17,13
2709,2018-07-18,13
5982,2018-07-20,13
2565,2018-07-21,13
5811,2018-07-22,13
162,2018-07-23,13
4842,2018-07-24,14
139,2018-07-25,14
2571,2018-07-26,14
1425,2018-07-29,14
3772,2018-07-30,14
6304,2018-07-31,14
2713,2018-08-01,14
265,2018-08-02,14
6326,2018-08-04,14
1471,2018-08-05,14
5993,2018-08-06,14
4844,2018-08-07,14
6315,2018-08-08,14
1930,2018-08-09,14
5553,2018-08-10,14
2719,2018-08-11,14
169,2018-08-12,14
3385,2018-08-13,14
2238,2018-08-14,14
111,2018-08-15,14
5607,2018-08-16,14
607,2018-08-17,14
5668,2018-08-18,14
6133,2018-08-19,14
6456,2018-08-20,14
3205,2018-08-21,14
1810,2018-08-22,14
3207,2018-08-23,14
2947,2018-08-24,14
1811,2018-08-25,14
6138,2018-08-26,14
4216,2018-08-27,14
175,2018-08-28,14
6322,2018-08-29,14
3308,2018-08-30,14
5612,2018-08-31,14
6018,2018-09-01,14
2606,2018-09-02,14
2728,2018-09-03,14
6019,2018-09-04,14
872,2018-09-05,14
5467,2018-09-06,14
5431,2018-09-07,14
6146,2018-09-09,14
6149,2018-09-11,14
3401,2018-09-12,14
360,2018-09-13,14
3750,2018-09-14,14
2609,2018-09-15,14
4651,2018-09-16,14
534,2018-09-17,14
4654,2018-09-18,14
4138,2018-09-19,14
4477,2018-09-20,14
6147,2018-09-21,14
3284,2018-09-23,14
5656,2018-09-24,14
4540,2018-09-25,14
6494,2018-09-26,14
2585,2018-09-27,14
1827,2018-09-28,14
