,ds,Development_3L,Khululeka,Lesedi_Solar,SAYM,Diaconia,LETCEE,Letsatsi_Solar,Siyakholwa,ELRU,LIMA,Molteno,TREE,GP_Branch,Lesedi_Educare_Association,NW_Branch,KET,KZN_Branch,Khululeka
0,2015-05-15 22:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,2015-05-21 22:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0
2,2015-09-11 15:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,2015-12-04 15:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4,2016-01-01 22:00:00+00:00,0,0,0,0,0,0,0,1,0,-1,0,0,1,0,0,0,0,0
5,2016-01-05 22:00:00+00:00,0,0,0,0,0,0,0,1,0,-2,0,0,1,0,0,0,0,0
6,2016-01-07 22:00:00+00:00,0,0,0,0,0,0,0,1,0,-2,0,0,0,0,0,0,0,0
7,2016-01-12 22:00:00+00:00,0,0,0,0,0,0,0,1,0,-3,0,0,0,0,0,0,0,0
8,2016-01-29 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,0,0,0,0,0,-1
9,2016-01-31 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,-1,0,0,0,0,-1
10,2016-02-05 15:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,-1,0,0,0,0,-1
11,2016-02-12 15:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,1,0,0,0,0,-1
12,2016-02-16 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,0,0,0,0,0,-1
13,2016-02-19 15:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,1,0,0,0,0,-1
14,2016-04-29 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,1,0,-1,0,0,-1
15,2016-06-10 15:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,2,0,-2,0,0,-1
16,2016-06-14 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,1,0,-2,0,0,-1
17,2016-06-26 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,2,0,-2,0,0,-1
18,2016-06-27 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,4,0,-2,0,0,-1
19,2016-06-28 12:23:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,27,0,-2,0,0,-1
20,2016-06-28 12:52:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,28,0,-2,0,0,-1
21,2016-06-28 13:05:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,29,0,-2,0,0,-1
22,2016-06-28 13:06:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,30,0,-2,0,0,-1
23,2016-06-28 13:09:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,31,0,-2,0,0,-1
24,2016-06-28 13:20:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,32,0,-2,0,0,-1
25,2016-06-28 13:48:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,33,0,-2,0,0,-1
26,2016-06-28 13:53:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,34,0,-2,0,0,-1
27,2016-06-28 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,0,0,35,0,-2,0,0,-1
28,2016-06-29 11:43:00+00:00,0,-1,0,0,0,0,0,1,0,-3,1,0,54,0,-2,0,0,-1
29,2016-06-29 11:52:00+00:00,0,-1,0,0,0,0,0,1,0,-3,1,0,55,0,-2,0,0,-1
30,2016-06-29 12:03:00+00:00,0,-1,0,0,0,0,0,1,0,-3,1,0,56,0,-2,0,0,-1
31,2016-06-29 12:12:00+00:00,0,-1,0,0,0,0,0,1,0,-3,1,0,57,0,-2,0,0,-1
32,2016-06-29 12:24:00+00:00,0,-1,0,0,0,0,0,1,0,-3,1,0,58,0,-2,0,0,-1
33,2016-06-29 22:00:00+00:00,0,-1,0,0,0,0,0,1,0,-3,1,0,57,0,-2,0,0,-1
34,2016-06-30 22:00:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,56,0,-2,0,0,-1
35,2016-07-04 22:00:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,57,0,-2,0,0,-1
36,2016-07-11 22:00:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,59,0,-2,0,0,-1
37,2016-07-14 22:00:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,60,0,-2,0,0,-1
38,2016-07-17 22:00:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,61,0,-2,0,0,-1
39,2016-07-18 07:28:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,101,0,-2,0,0,-1
40,2016-07-18 08:25:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,102,0,-2,0,0,-1
41,2016-07-18 13:37:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,103,0,-2,0,0,-1
42,2016-07-18 22:00:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,104,0,-2,0,0,-1
43,2016-07-19 07:10:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,131,0,-2,0,0,-1
44,2016-07-19 11:53:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,132,0,-2,0,0,-1
45,2016-07-19 13:46:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,133,0,-2,0,0,-1
46,2016-07-19 22:00:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,134,0,-2,0,0,-1
47,2016-07-20 08:47:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,180,0,-2,0,0,-1
48,2016-07-20 09:28:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,181,0,-2,0,0,-1
49,2016-07-20 11:27:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,182,0,-2,0,0,-1
50,2016-07-20 11:37:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,183,0,-2,0,0,-1
51,2016-07-20 11:47:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,184,0,-2,0,0,-1
52,2016-07-20 11:50:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,185,0,-2,0,0,-1
53,2016-07-20 11:52:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,186,0,-2,0,0,-1
54,2016-07-20 11:55:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,187,0,-2,0,0,-1
55,2016-07-20 12:10:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,188,0,-2,0,0,-1
56,2016-07-20 12:16:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,189,0,-2,0,0,-1
57,2016-07-20 12:20:00+00:00,0,-1,0,0,0,-1,0,1,0,-3,1,0,190,0,-2,0,0,-1
58,2016-07-20 22:00:00+00:00,0,0,0,0,0,-1,0,1,0,-3,1,0,190,0,-2,0,0,0
59,2016-07-21 07:40:00+00:00,0,4,0,0,0,-1,0,1,0,-3,1,0,249,0,-2,0,0,4
60,2016-07-21 08:20:00+00:00,0,4,0,0,0,-1,0,1,0,-3,1,0,250,0,-2,0,0,4
61,2016-07-21 09:42:00+00:00,0,4,0,0,0,-1,0,1,0,-3,1,0,251,0,-2,0,0,4
