,ds,Daymother,ECD Centre,Playgroup,SmartStart ECD
0,2015-05-15 22:00:00+00:00,1,0,0,0
1,2015-05-21 22:00:00+00:00,0,0,0,0
2,2015-09-11 15:00:00+00:00,0,0,0,1
3,2015-12-04 15:00:00+00:00,1,0,0,1
4,2016-01-01 22:00:00+00:00,1,0,-1,1
5,2016-01-05 22:00:00+00:00,1,0,-2,1
6,2016-01-07 22:00:00+00:00,1,-1,-2,1
7,2016-01-12 22:00:00+00:00,1,-1,-3,1
8,2016-01-29 22:00:00+00:00,1,-1,-3,1
9,2016-01-31 22:00:00+00:00,1,-1,-3,1
10,2016-02-05 15:00:00+00:00,0,-1,-2,1
11,2016-02-12 15:00:00+00:00,1,-1,-2,2
12,2016-02-16 22:00:00+00:00,1,-2,-2,2
13,2016-02-19 15:00:00+00:00,2,-2,-2,2
14,2016-04-29 22:00:00+00:00,2,-2,-3,2
15,2016-06-10 15:00:00+00:00,2,-1,-4,2
16,2016-06-14 22:00:00+00:00,2,-2,-4,2
17,2016-06-26 22:00:00+00:00,2,-1,-4,2
18,2016-06-27 22:00:00+00:00,3,0,-4,2
19,2016-06-28 12:23:00+00:00,20,3,-4,2
20,2016-06-28 12:52:00+00:00,20,4,-4,2
21,2016-06-28 13:05:00+00:00,20,4,-4,3
22,2016-06-28 13:06:00+00:00,21,4,-4,3
23,2016-06-28 13:09:00+00:00,22,4,-4,3
24,2016-06-28 13:20:00+00:00,23,4,-4,3
25,2016-06-28 13:48:00+00:00,24,4,-4,3
26,2016-06-28 13:53:00+00:00,25,4,-4,3
27,2016-06-28 22:00:00+00:00,26,4,-4,3
28,2016-06-29 11:43:00+00:00,43,7,-4,3
29,2016-06-29 11:52:00+00:00,44,7,-4,3
30,2016-06-29 12:03:00+00:00,44,8,-4,3
31,2016-06-29 12:12:00+00:00,44,9,-4,3
32,2016-06-29 12:24:00+00:00,44,10,-4,3
33,2016-06-29 22:00:00+00:00,43,10,-4,3
34,2016-06-30 22:00:00+00:00,43,9,-4,3
35,2016-07-04 22:00:00+00:00,43,9,-4,3
36,2016-07-11 22:00:00+00:00,45,9,-4,3
37,2016-07-14 22:00:00+00:00,46,9,-4,3
38,2016-07-17 22:00:00+00:00,46,10,-4,3
39,2016-07-18 07:28:00+00:00,65,26,-3,4
40,2016-07-18 08:25:00+00:00,65,27,-3,4
41,2016-07-18 13:37:00+00:00,65,28,-3,4
42,2016-07-18 22:00:00+00:00,66,28,-3,4
43,2016-07-19 07:10:00+00:00,79,42,-3,4
44,2016-07-19 11:53:00+00:00,79,43,-3,4
45,2016-07-19 13:46:00+00:00,79,43,-3,5
46,2016-07-19 22:00:00+00:00,79,44,-3,5
47,2016-07-20 08:47:00+00:00,106,62,-3,6
48,2016-07-20 09:28:00+00:00,106,63,-3,6
49,2016-07-20 11:27:00+00:00,106,64,-3,6
50,2016-07-20 11:37:00+00:00,106,65,-3,6
51,2016-07-20 11:47:00+00:00,106,66,-3,6
52,2016-07-20 11:50:00+00:00,106,67,-3,6
53,2016-07-20 11:52:00+00:00,106,68,-3,6
54,2016-07-20 11:55:00+00:00,106,69,-3,6
55,2016-07-20 12:10:00+00:00,106,70,-3,6
56,2016-07-20 12:16:00+00:00,106,71,-3,6
57,2016-07-20 12:20:00+00:00,106,72,-3,6
58,2016-07-20 22:00:00+00:00,107,72,-3,6
59,2016-07-21 07:40:00+00:00,113,129,-3,6
60,2016-07-21 08:20:00+00:00,113,130,-3,6
61,2016-07-21 09:42:00+00:00,114,130,-3,6
62,2016-07-21 12:04:00+00:00,114,131,-3,6
63,2016-07-21 22:00:00+00:00,114,132,-3,6
64,2016-07-24 22:00:00+00:00,117,143,-3,6
65,2016-07-27 22:00:00+00:00,118,159,-3,6
66,2016-07-28 22:00:00+00:00,136,161,-2,6
67,2016-07-29 07:44:00+00:00,137,162,13,6
68,2016-07-29 22:00:00+00:00,137,161,13,6
69,2016-07-31 22:00:00+00:00,137,161,13,6
70,2016-08-01 07:53:00+00:00,138,189,13,6
71,2016-08-01 22:00:00+00:00,139,189,13,6
72,2016-08-02 22:00:00+00:00,153,189,16,6
73,2016-08-09 22:00:00+00:00,171,190,16,6
